BKMU,Bank Mutual Corporation 
CZNC,Citizens & Northern Corp 
CSX,CSX Corporation Common 
IHS, IHS Inc. IHS Inc. Class A Commo 
NORD,Nord Anglia Education Inc. 
PRGS,Progress Software Corporation 
SKY,Skyline Corporation Common Stoc 
WMS,WMS Industries Inc. Common Stoc 
CCG,Campus Crest Communities Inc.  
CERE, Ceres  Inc. 
CTBI,Community Trust Bancorp Inc. 
CASH,Meta Financial Group Inc. 
QIHU, Qihoo 360 Technology Co. Ltd. A 
LEDS,SemiLEDS Corporation 
LOV,Spark Networks Inc. Common Sto 
SMCI,Super Micro Computer Inc. 
WAFD, Washington Federal  Inc. 
