TNGO, Tangoe  Inc. 
ARDX,Ardelyx Inc.
AHC,A.H. Belo Corporation Common St 
JMI, Javelin Mortgage Investment Cor 
VNR,Vanguard Natural Resources LLC  
CTCM,CTC Media Inc. 
BONA,Bona Film Group Limited 
KODK,Eastman Kodak Co. 
EFUT,eFuture Information Technology  
WMK,Weis Markets Inc. Common 
EVOK,Evoke Pharma Inc. 
MTEX,Mannatech Incorporated 
POWR,PowerSecure International Inc 
RELV,Reliv' International Inc. 
AMDA,Amedica Corporation 
CECE,CECO Environmental Corp. 
DVAX,Dynavax Technologies Corporatio 
TFM,The Fresh Market Inc. 
MSEX,Middlesex Water Company 
NAVB, Navidea Biopharmaceuticals  Inc 
OSIR,Osiris Therapeutics Inc. 
YY,YY Inc. 
AVEO,AVEO Pharmaceuticals Inc. 
BIG,Big Lots Inc. Common 
CVGW,Calavo Growers Inc. 
JVA,Coffee Holding Co. Inc. 
FUNC,First United Corporation 
FRM,Furmanite Corporation Common St 
HNRG, Hallador Energy Company 
HMTV,Hemisphere Media Group Inc. 
HURC, Hurco Companies  Inc. 
IKGH,Iao Kun Group Holding Company Limited 
TAX, JTH Holding Inc. D/B/A Liberty  
MRCC,Monroe Capital Corporation 
OFS,OFS Capital Corporation 
PNY,Piedmont Natural Gas Company I 
ROKA,Roka Bioscience Inc.
SXE,Southcross Energy Partners L.P. 
SPLS,Staples Inc. 
XUE,Xueda Education Group American  
TRK,Speedway Motorsports Inc. Comm 
THLD,Threshold Pharmaceuticals Inc. 
TNXP,Tonix Pharmaceuticals Holding Corp 
IFON, InfoSonics Corp 
JCS,Communications Systems Inc. 
