A,Agilent Technologies Inc. Comm 
ADI,Analog Devices Inc. 
AEO,American Eagle Outfitters Inc. 
ALOT,Astro-Med Inc. 
ALR,Alere Inc. Common 
ARAY,Accuray Incorporated 
BGG,Briggs & Stratton Corporation C 
BORN,China New Borun Corporation Ame 
BSPM,Biostar Pharmaceuticals Inc. 
CACI,CACI International Inc. Class  
CTRN,Citi Trends Inc. 
CTRP,Ctrip.com International Ltd. 
EPAY,Bottomline Technologies Inc. 
EV,Eaton Vance Corporation Common  
GRVY,GRAVITY Co. Ltd. 
JASO,JA Solar Holdings Co. Ltd. 
LB,L.B. Foster Company 
LOW,Lowe's Companies Inc. Common S 
NTAP,NetApp Inc. 
NTES,NetEase Inc. 
PGR,Progressive Corporation (The) C 
PLCE,The Children's Place Retail Sto 
SFUN,SouFun Holdings Limited America 
SMTC,Semtech Corporation 
SNPS,Synopsys Inc. 
SPLS,Staples Inc. 
SPTN,Spartan Stores Inc. 
SYPR,Sypris Solutions Inc. 
TECH,Techne Corporation 
TGT,Target Corporation Common 
TWMC,Trans World Entertainment Corp. 
HAIN, The Hain Celestial Group  Inc. 
IMMU, Immunomedics  Inc. 
EROS,Eros International Plc 
YY,YY Inc. 
IMPR,Imprivata Inc. Common
INNL,Innocoll AG
KEYS,Keysight Technologies Inc. Comm
PRQR,ProQR Therapeutics N.V.
PFGC,Performance Food Group Company
SITE,SiteOne Landscape Supply  Inc.
