BBSI,Barrett Business Services Inc. 
HBIO, Harvard Bioscience  Inc. 
CTCM,CTC Media Inc. 
BONA,Bona Film Group Limited 
DATE, Jiayuan.com International Ltd. 
OSIR,Osiris Therapeutics Inc. 
LITB,LightInTheBox Holding Co. Ltd. 
ASTI,Ascent Solar Technologies Inc. 
BBLU,Blue Earth Inc.
CDTI,Clean Diesel Technologies Inc. 
DSCO, Discovery Laboratories  Inc. 
JST,Jinpan International Limited 
OMEX,Odyssey Marine Exploration Inc 
PAR, PAR Technology Corporation Comm 
PRKR,ParkerVision Inc. 
QIHU, Qihoo 360 Technology Co. Ltd. A 
EGY,Vaalco Energy Inc Common 
VRNG,Vringo Inc. Common 
BPTH,Bio-Path Holdings Inc. 
CPXX,Celator Pharmaceuticals Inc. 
CRVP,Crystal Rock Holdings Inc. 
LTS,Ladenburg Thalmann Financial Se 
MCUR,Macrocure Ltd.
COOL,Majesco Entertainment Company 
RFIL,RF Industries Ltd. 
AXAS,Abraxas Petroleum Corporation 
ALOT,Astro-Med Inc. 
CAPR,CAPRICOR THERAP
CMCM,Cheetah Mobile Inc. American De
CIFC,CIFC Corp. 
CLC,CLARCOR Inc. Common 
CTRP,Ctrip.com International Ltd. 
CBAY,CymaBay Therapeutics Inc.
EJ,E-House (China) Holdings Limite 
LONG,eLong Inc. 
FDX,FedEx Corporation Common 
GES,Guess? Inc. Common 
MLHR,Herman Miller Inc. 
HMIN, Home Inns & Hotels Management I 
JBL,Jabil Circuit Inc. Common Stoc 
JYNT,The Joint Corp.
NOAH,Noah Holdings Ltd. American Dep 
PGR,Progressive Corporation (The) C 
QUNR,Qunar Cayman Islands Limited 
RENN,Renren Inc. American Depositary 
RTK,Rentech Inc. Common 
RNF, Rentech Nitrogen Partners  L.P. 
ROSG, Rosetta Genomics Ltd. 
SYNC, Synacor  Inc. 
TNGO, Tangoe  Inc. 
TENX,Tenax Therapeutics Inc.
TLYS, Tilly's  Inc. Common 
WSM,Williams-Sonoma Inc. Common St 
ARCO, Arcos Dorados Holdings Inc. Cla 
DSCI,Derma Sciences Inc. 
SGNL,Signal Genetics Inc.
ANW,Aegean Marine Petroleum Network 
GBIM,GlobeImmune Inc.
