CTCM,CTC Media Inc. 
TPLM,Triangle Petroleum Corporation  
TCPI,TCP International Holdings Ltd.
FCFS,First Cash Financial Services  
TZOO,Travelzoo Inc. 
MSG,The Madison Square Garden Compa 
CART,Carolina Trust Bank 
CETV,Central European Media Enterpri 
GLF,GulfMark Offshore Inc. New Com 
HLX, Helix Energy Solutions Group  I 
NWBI,Northwest Bancshares Inc. 
PKBK,Parke Bancorp Inc. 
PEBK, Peoples Bancorp of North Caroli 
RCL,Royal Caribbean Cruises Ltd. Co 
SXT,Sensient Technologies Corporati 
SHBI,Shore Bancshares Inc 
BSRR,Sierra Bancorp 
ACY,AeroCentury Corp. Common 
AWH,Allied World Assurance Company  
DIT,AMCON Distributing Company Comm 
ASTE,Astec Industries Inc. 
AWRE,Aware Inc. 
EAT,Brinker International Inc. Com 
CAMP,CalAmp Corp. 
CMA,Comerica Incorporated Common St 
DFS,Discover Financial Services Com 
DNBF,DNB Financial Corp 
DOV,Dover Corporation Common 
EMCF, Emclaire Financial Corp 
FMBI,First Midwest Bancorp Inc. 
FSBK, First South Bancorp Inc 
FLXS,Flexsteel Industries Inc. 
FULT,Fulton Financial Corporation 
GPC,Genuine Parts Company Common St 
GS,Goldman Sachs Group Inc. (The) 
GSBC,Great Southern Bancorp Inc. 
HBHC, Hancock Holding Company 
HAFC, Hanmi Financial Corporation 
HOG, Harley-Davidson  Inc. Common St 
ILMN, Illumina  Inc. 
INTC,Intel Corporation 
IBKR, Interactive Brokers Group  Inc. 
ISRG,Intuitive Surgical Inc. 
KSU,Kansas City Southern Common Sto 
LSBG,Lake Sunapee Bank Group
LCNB, LCNB Corporation 
LTXB,LegacyTexas Financial Group Inc.
LECO,Lincoln Electric Holdings Inc. 
MANH,Manhattan Associates Inc. 
MBWM,Mercantile Bank Corporation 
MTG,MGIC Investment Corporation Com 
NAVI,Navient Corporation 
EDU,New Oriental Education & Techno 
NTRS,Northern Trust Corporation 
BKOR,Oak Ridge Financial Services I 
OMC,Omnicom Group Inc. Common 
PM,Philip Morris International Inc 
PLD,ProLogis Inc. Common 
PZN,Pzena Investment Management Inc 
SBNY,Signature Bank 
SAH,Sonic Automotive Inc. Common S 
SNV,Synovus Financial Corp. Common  
AMTD,TD Ameritrade Holding Corporati 
TTS, Tile Shop Hldgs  Inc. 
UBOH,United Bancshares Inc. 
UCFC,United Community Financial Corp 
UBNK,United Financial Bancorp Inc. 
UNH,UnitedHealth Group Incorporated 
VISN,VisionChina Media Inc. 
VMW,Vmware Inc. Common stock Clas 
WBS,Webster Financial Corporation C 
ZHNE,Zhone Technologies Inc. 
ADES,ADA-ES Inc. 
MLI,Mueller Industries Inc. Common 
CKH,SEACOR Holdings Inc. Common Sto 
JNJ,Johnson & Johnson Common 
RCKY,Rocky Brands Inc. 
TRIB,Trinity Biotech plc 
