BBSI,Barrett Business Services Inc. 
BRS,Bristow Group Inc. Common 
COST,Costco Wholesale Corporation 
CPRT,Copart Inc. 
EV,Eaton Vance Corporation Common  
EXPR,Express Inc. Common 
GASS,StealthGas Inc. 
GES,Guess? Inc. Common 
GHM,Graham Corporation Common 
GRVY,GRAVITY Co. Ltd. 
LGF,Lions Gate Entertainment Corpor 
MOD,Modine Manufacturing Company Co 
MY,China Ming Yang Wind Power Grou 
NM,Navios Maritime Holdings Inc. C 
NPD,China Nepstar Chain Drugstore L 
NTAP,NetApp Inc. 
PLUS,ePlus inc. 
PVH,PVH Corp. Common 
SPTN,Spartan Stores Inc. 
TDW,Tidewater Inc. Common 
TIF,Tiffany & Co. Common 
UHAL,Amerco 
UNIS,Unilife Corporation 
WSM,Williams-Sonoma Inc. Common St 
XNY,China Xiniya Fashion Limited Am 
BLOX, Infoblox Inc. Common 
EXA, Exa Corporation 
HEI, Heico Corporation Common 
HPQ, Hewlett-Packard Company Common  
THR, Thermon Group Holdings  Inc. Co 
TLYS, Tilly's  Inc. Common 
WUBA,58.com Inc. 
PLKI,Popeyes Louisiana Kitchen Inc. 
EVLV,EVINE Live Inc.
SKYS,Sky Solar Holdings Ltd.
APIC,Apigee Corporation
KEN,Kenon Holdings Ltd.
PSTG,Pure Storage  Inc.
