A,Agilent Technologies Inc. Comm 
ARL,American Realty Investors Inc. 
ASTI,Ascent Solar Technologies Inc. 
BBX,BankAtlantic Bancorp Inc. New  
BZH,Beazer Homes USA Inc. Common S 
CHCI,Comstock Holding Companies Inc 
CNET,ChinaNet Online Holdings Inc. 
DBD,Diebold Incorporated Common St 
DKS,Dick's Sporting Goods Inc Commo 
DQ,DAQQ New Energy Corp. American  
GILT,Gilat Satellite Networks Ltd. 
ITRN,Ituran Location and Control Ltd 
KLIC,Kulicke and Soffa Industries I 
KOOL,THERMOGENESIS Corp. 
LORL,Loral Space and Communications 
NTIC,Northern Technologies Internati 
PNRG,PrimeEnergy Corporation 
SBH,Sally Beauty Holdings Inc. (Na 
SOL,Renesola Ltd. Common Shares of  
SR,Spire Inc.
SSYS,Stratasys Inc. 
STV,China Digital TV Holding Co. L 
TINY,Harris & Harris Group Inc. 
TISA,Top Image Systems Ltd. 
TJX,TJX Companies Inc. (The) Commo 
ULTR,Ultrapetrol (Bahamas) Limited 
VOD,Vodafone Group Plc 
ZBRA,Zebra Technologies Corporation 
ECTE, Echo Therapeutics  Inc. 
HAIN, The Hain Celestial Group  Inc. 
HD, Home Depot  Inc. (The) Common S 
HWBK, Hawthorn Bancshares  Inc. 
MPO, Midstates Petroleum Company  In 
MTSI, M/A-COM Technology Solutions Ho 
NETE, Net Element International  Inc. 
RADA, Rada Electronics Industries Lim 
RVP, Retractable Technologies  Inc.  
SGRP, SPAR Group  Inc. 
EZJ,ProShares Ultra MSCI Japan ETF
MICT,Micronet Enertec Technologies Inc. 
ARMK,ARAMARK Holdings Corporation 
CYRN,CYREN Ltd. 
FSNN,Fusion Telecommunications Inter
JD,JD.com Inc.
MBLY,Mobileye N.V. Ordinary Shares
MDSY,BluePhoenix Solutions Ltd.
ORPN,Bio Blast Pharma Ltd.
QRHC,Quest Resource Holding Corporat
YUMA,Yuma Energy Inc.
BCLI,Brainstorm Cell Therapeutics In
ARDX,Ardelyx Inc.
JP,Jupai Holdings Limited
JNP,Juniper Pharmaceuticals  Inc.
ABEO,Abeona Therapeutics Inc. 
SRG,Seritage Growth Properties
UFAB,Unique Fabricating  Inc.
XBIT,XBiotech  Inc.
ABIL,Ability Inc.
YIN,Yintech Investment Holdings Limited
MFCB,MFC Bancorp Ltd.
DMPI,Del Mar Pharmaceuticals Inc. 
MSDI,Monster Digital  Inc.
