BBSI,Barrett Business Services Inc. 
HBIO, Harvard Bioscience  Inc. 
BONA,Bona Film Group Limited 
OSIR,Osiris Therapeutics Inc. 
LITB,LightInTheBox Holding Co. Ltd. 
ASTI,Ascent Solar Technologies Inc. 
BBLU,Blue Earth Inc.
CDTI,Clean Diesel Technologies Inc. 
JMEI,Jumei International Holding Lim
OMEX,Odyssey Marine Exploration Inc 
PAR, PAR Technology Corporation Comm 
PRKR,ParkerVision Inc. 
QIHU, Qihoo 360 Technology Co. Ltd. A 
CPXX,Celator Pharmaceuticals Inc. 
MCUR,Macrocure Ltd.
RFIL,RF Industries Ltd. 
CAPR,CAPRICOR THERAP
CBAY,CymaBay Therapeutics Inc.
EJ,E-House (China) Holdings Limite 
RENN,Renren Inc. American Depositary 
ROSG, Rosetta Genomics Ltd. 
TNGO, Tangoe  Inc. 
TENX,Tenax Therapeutics Inc.
AGRO, Adecoagro S.A. Common Shares 
ADBE,Adobe Systems Incorporated 
ARO,Aeropostale Inc Common 
CATO,Cato Corporation (The) Class A  
FSAM,Fifth Street Asset Management I
GPIC,Gaming Partners International C 
GSOL,Global Sources Ltd. 
HART,Harvard Apparatus Regenerative Technology Inc. 
INNL,Innocoll AG
IGT, International Game Technology C 
KINS,Kingstone Companies Inc 
LE,Lands' End Inc. 
MBLX,Metabolix Inc. 
MIK,The Michaels Companies Inc.
NEOS,Neos Therapeutics  Inc.
OXBR,Oxbridge Re Holdings Limited
SCVL,Shoe Carnival Inc. 
URRE,Uranium Resources Inc. 
VNCE,Apparel Holding Corp. 
VYGR,Voyager Therapeutics  Inc.
YOKU,Youku Inc. American Depositary  
KURA,Kura Oncology  Inc.
PIH,1347 Property Insurance Holdings Inc. 
MMAC,MMA Capital Management LLC
