165,E*TRADE Financial Corp,ETFC 
166,Eaton Corp,ETN 
167,Entergy Corp,ETR 
168,Edwards Lifesciences Corp,EW 
169,Exelon Corp,EXC 
170,Expeditors Intl of WA Inc,EXPD 
171,Expedia,EXPE 
172,Ford Motor Co,F 
173,Fastenal Co,FAST 
174,Freeport McMoRan Copper & Gold,FCX 
175,Family Dollar Stores Inc,FDO 
176,FedEx Corp,FDX 
177,FirstEnergy Corp,FE 
178,F5 Networks Inc,FFIV 
179,First Horizon National Corp,FHN 
180,Federated Investors Inc B,FII 
181,Fidelity National Information,FIS 
182,Fiserv Inc,FISV 
183,Fifth Third Bancorp (OH),FITB 
184,FLIR Systems Inc,FLIR 
185,Fluor Corp,FLR 
186,Flowserve Corp,FLS 
187,FMC Corp,FMC 
188,Fossil Inc,FOSL 
189,Forest Laboratories,FRX 
190,First Solar Inc,FSLR 
191,FMC Technologies Inc,FTI 
192,Frontier Communications Corp,FTR 
193,AGL Resources,GAS 
194,Gannett Co Inc,GCI 
195,General Dynamics,GD 
196,General Electric Co,GE 
197,Gilead Sciences Inc,GILD 
198,General Mills Inc,GIS 
199,Corning Inc,GLW 
200,GameStop Corp A,GME 
201,Genworth Financial Inc,GNW 
202,Google Inc,GOOG 
203,Genuine Parts Co,GPC 
204,Gap Inc,GPS 
205,Goldman Sachs Group Inc,GS 
206,Goodyear Tire & Rubber Co,GT 
207,Grainger  W.W. Inc,GWW 
208,Halliburton Co,HAL 
209,Harman Intl Industries Inc,HAR 
210,Hasbro Inc,HAS 
211,Huntington Bancshares (OH),HBAN 
212,Hudson City Bancorp,HCBK 
213,Health Care REIT Inc,HCN 
214,HCP Inc,HCP 
215,Home Depot Inc,HD 
216,Hess Corp,HES 
217,Hartford Finl Services Group,HIG 
218,Heinz  H.J. Co,HNZ 
219,Harley-Davidson Inc,HOG 
220,Honeywell Intl Inc,HON 
221,Starwood Hotel & Resort World,HOT 
222,Helmerich & Payne Inc,HP 
223,Hewlett-Packard Co,HPQ 
224,Block H & R Inc,HRB 
225,Hormel Foods Corp,HRL 
226,Harris Corp,HRS 
227,Hospira  Inc,HSP 
228,Host Hotels & Resorts Inc,HST 
229,Hershey Foods Corp,HSY 
230,Humana Inc,HUM 
231,Intl Business Machines Corp,IBM 
232,IntercontinentalExchange,ICE 
233,Intl Flavors & Fragrances,IFF 
234,Intl Game Technology,IGT 
235,Intel Corp,INTC 
236,Intuit Inc,INTU 
237,Intl Paper Co,IP 
238,Interpublic Group Cos,IPG 
239,Ingersoll-Rand Plc,IR 
240,Iron Mountain Inc,IRM 
241,Intuitive Surgical Inc,ISRG 
242,Illinois Tool Works Inc,ITW 
243,Invesco Ltd,IVZ 
244,Jabil Circuit Inc,JBL 
245,Johnson Controls Inc,JCI 
246,Penney  J.C. Inc,JCP 
247,JDS Uniphase Corp,JDSU 
248,Jacobs Engineering Group Inc,JEC 
249,Johnson & Johnson,JNJ 
250,Juniper Networks Inc,JNPR 
251,Joy Global Inc,JOY 
252,JP Morgan Chase & Co,JPM 
253,Nordstrom Inc,JWN 
254,Kellogg Co,K 
255,KeyCorp,KEY 
256,Kimco Realty Corp,KIM 
257,KLA-Tencor Corporation,KLAC 
258,Kimberly-Clark,KMB 
259,Kinder Morgan Inc,KMI 
260,Carmax Inc,KMX 
261,Coca-Cola Co,KO 
262,Kroger Co,KR 
263,Kraft Foods Group Inc.,KRFT 
264,Kohl's Corp,KSS 
265,Loews Corp,L 
266,Leggett & Platt,LEG 
267,Lennar Corp,LEN 
268,Lab Corp of America Hldgs,LH 
269,Life Technologies Corp,LIFE 
270,L-3 Communications Holdings,LLL 
