ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
ACET,Aceto Corporation ,Basic Materials,2016-01-05,24.05,-0.746553957462311,44.4697,29.5321,1.00424,4.01694345474243
AEIS,Advanced Energy Industries Inc ,Technology,2016-01-05,26.33,-0.576235383749008,22.2798,29.1896,0.774629,3.09851598739624
AVD,American Vanguard Corporation C ,Basic Materials,2016-01-05,11.49,-0.610345602035522,46.1215,27.6373,0.94332,3.77328133583069
CALD,Callidus Software Inc. ,Technology,2016-01-05,17.01,-0.454751789569855,7.37155,26.2172,1.06832,4.2732720375061
DSPG,DSP Group Inc. ,Technology,2016-01-05,8.54,-0.231877654790878,5.14344,22.0836,0.512464,2.04985499382019
DXYN,The Dixie Group Inc. ,Industrial Goods,2016-01-05,4.9,-0.111730992794037,3.28054,28.9341,0.394111,1.57644474506378
EBAY,eBay Inc. ,Services,2016-01-05,26.12,-0.343944549560547,19.5898,29.7425,0.819899,3.27959489822388
FOSL,Fossil Inc. ,Consumer Goods,2016-01-05,33.38,0,34.044,28.6347,1.61523,6.46092748641968
GR,Goodrich Corporation (The) Comm ,Industrial Goods,2016-01-05,0.04,0,-1.74757e-13,11.6829,0.0288577,0.115430645644665
IPHS,Innophos Holdings Inc. ,Basic Materials,2016-01-05,27.68,-0.338618040084839,25.6113,28.3719,0.840883,3.36353349685669
ISNS,Image Sensing Systems Inc. ,Technology,2016-01-05,3.37,-0.0912454575300217,22.7464,23.8109,0.113229,0.452917844057083
KEM,Kemet Corporation New Common St ,Technology,2016-01-05,2.18,-0.0735624879598618,8.86269,24.0485,0.195648,0.782593905925751
LABL,Multi-Color Corporation ,Services,2016-01-05,58.07,-0.840110063552856,21.6066,29.3355,1.92426,7.69703149795532
LOGM,LogMein Inc. ,Technology,2016-01-05,60.4,-1.82616448402405,39.6844,26.1553,3.07379,12.295166015625
NTGR,NETGEAR Inc. ,Technology,2016-01-05,39.92,-0.740831673145294,13.1223,29.8851,1.29459,5.17836236953735
NURO,NeuroMetrix Inc. ,Healthcare,2016-01-05,1.75,-0.11390346288681,6.93944,28.2595,0.268363,1.07345080375671
OFLX,Omega Flex Inc. ,Industrial Goods,2016-01-05,31.63,-0.957278966903687,8.44383,18.472,2.70335,10.8133821487427
QNST,QuinStreet Inc. ,Services,2016-01-05,3.96,-0.123883754014969,12.3866,22.2193,0.259212,1.03684604167938
RJET,Republic Airways Holdings Inc. ,Services,2016-01-05,3.08,-0.192832976579666,14.0854,23.6197,0.3313,1.32519996166229
RTEC,Rudolph Technologies Inc. ,Technology,2016-01-05,12.4,0,25.3472,24.9934,0.576647,2.30658674240112
SHEN,Shenandoah Telecommunications C ,Technology,2016-01-05,20.62,-4.28014278411865,22.8331,9.50676,5.74725,22.9889850616455
SKYW,SkyWest Inc. ,Services,2016-01-05,17.03,-0.727560698986053,16.7954,27.3065,0.992524,3.9700973033905
TSRA,Tessera Technologies Inc. ,Technology,2016-01-05,28.93,-0.503516554832458,6.76644,26.2445,1.15018,4.60070610046387
VVI,Viad Corp Common ,Services,2016-01-05,26.78,-0.4977867603302,7.86975,21.0512,1.34231,5.36923456192017
WST,West Pharmaceutical Services I ,Healthcare,2016-01-05,56.87,-1.09271109104156,20.8591,29.2559,1.69076,6.76303815841675
CHOC, iPath Pure Beta Cocoa ETN ,N/A,2016-01-05,45.19,-0.445004820823669,10.1553,23.8332,1.3087,5.23481464385986
GBB, iPath Goldman Sachs iPath GBP/U ,N/A,2016-01-05,38.78,-0.175384998321533,2.33923,19.2313,0.407695,1.63077962398529
GSVC, GSV Capital Corp ,N/A,2016-01-05,6.63,-0.589219272136688,37.7367,22.4836,0.912061,3.64824223518372
HA, Hawaiian Holdings  Inc. ,Services,2016-01-05,32.03,-1.25710862874985,8.59725,27.8359,1.86176,7.44702577590942
HELE, Helen of Troy Limited ,Consumer Goods,2016-01-05,88.55,-1.96578550338745,7.96777,23.542,3.92461,15.6984386444092
IMAX, Imax Corporation Common ,Services,2016-01-05,33.63,-0.590767860412598,15.8932,29.3722,1.62157,6.48627042770386
IMMR, Immersion Corporation ,Technology,2016-01-05,9.78,-0.436751544475555,21.7291,24.8888,0.96084,3.84336185455322
NIB, iPath DJ-UBS Cocoa Subindex Tot ,N/A,2016-01-05,39.16,-0.458265781402588,13.3554,27.7748,1.2825,5.12999963760376
WEET, iPath Pure Beta Grains ETN ,N/A,2016-01-05,32.54,-0.135565757751465,2.97826,15.2615,0.427492,1.70996677875519
HECO,Huntington EcoLogical Strategy ETF,US Equity ETF,2016-01-05,34.87,-0.390386402606964,4.44311,26.5006,0.863472,3.45388793945312
HUSE,Huntington US Equity Rotation Strat ETF,US Equity ETF,2016-01-05,36.56,-0.394852846860886,18.5157,21.6449,0.615591,2.46236300468445
RWV,REVENUESHARES NAVELLIER OVERALL A-100 FUND ETF,US Equity ETF,2016-01-05,46.09,-0.516609489917755,29.1698,29.8526,0.905945,3.62377905845642
TPRE,Third Point Reinsurance Ltd. ,Financial,2016-01-05,12.78,-0.174346417188644,40.5146,29.1435,0.346982,1.3879269361496
RCAP,RCS Capital Corporation ,Financial,2016-01-05,0.02,-0.04051473736763,50.3268,23.9454,0.106825,0.427298486232758
NSTG,NanoString Technologies Inc. ,Healthcare,2016-01-05,12.92,-0.35978090763092,47.6013,27.8839,0.463869,1.85547471046448
FOXF,Fox Factory Holding Corp ,Consumer Goods,2016-01-05,15.95,-0.322465658187866,14.3701,27.4364,0.844198,3.37679266929626
CIFC,CIFC Corp. ,Financial,2016-01-05,5.61,-0.161905020475388,13.6087,29.1362,0.382714,1.53085720539093
CACQ,Caesars Acquisition Company ,Services,2016-01-05,5.91,-0.304948180913925,16.1481,28.0107,0.435473,1.74189257621765
HKOR,Horizons Korea KOSPI 200 ETF ,N/A,2016-01-05,28.17,-0.404205501079559,38.1297,26.4057,0.762309,3.04923439025879
ICLDW,InterCloud Systems  Inc ,N/A,2016-01-05,0.266,0,28.3626,20.2134,0.111204,0.4448162317276
KFYP,KraneShares CSI China Five Year Plan ETF ,N/A,2016-01-05,54.43,-2.22061264514923,-1.58426e-13,11.0373,2.63028,10.5211353302002
