ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
AEGR,Aegerion Pharmaceuticals Inc. ,Healthcare,2015-11-11,10.22,-1.16408598423004,35.3987,27.3141,1.62402,6.49607086181641
APT,Alpha Pro Tech Ltd. Common Sto ,Healthcare,2015-11-11,1.78,-0.0649973526597023,12.7628,25.5393,0.116415,0.465658694505692
ARLP,Alliance Resource Partners L.P ,Basic Materials,2015-11-11,18.12,-0.568088531494141,10.8385,20.6377,1.31509,5.2603702545166
AVID,Avid Technology Inc. ,Technology,2015-11-11,6.13,,25.1705,27.5367,0.937466,3.74986553192139
BDE,Black Diamond Inc. ,Consumer Goods,2015-11-11,4.02,-0.28794276714325,31.8419,18.0971,0.580038,2.32015085220337
BID,Sotheby's Common ,Services,2015-11-11,28.71,-1.09242427349091,25.7555,27.4534,1.44146,5.76584815979004
BOOT,LaCrosse Footwear Inc. ,Consumer Goods,2015-11-11,12.05,,30.252,26.3534,1.7532,7.0128116607666
CBMX,CombiMatrix Corporation ,Healthcare,2015-11-11,0.85,-0.0412570983171463,15.963,25.9018,0.0811606,0.324642539024353
CNL,Cleco Corporation Common ,Utilities,2015-11-11,50.35,-0.406759977340698,8.21311,20.0897,1.05484,4.21936893463135
CVA,Covanta Holding Corporation Com ,Industrial Goods,2015-11-11,15.31,-0.227644443511963,7.28784,28.4376,0.741141,2.96456575393677
CXW,Corrections Corporation of Amer ,Services,2015-11-11,26.33,-0.503208994865417,15.0177,29.4281,1.08726,4.34904861450195
CYD,China Yuchai International Limi ,Industrial Goods,2015-11-11,12.06,-0.223451048135757,8.03662,29.7703,0.447428,1.789710521698
DOX,Amdocs Limited Common ,Technology,2015-11-11,55.56,-1.00694966316223,61.4751,28.8809,1.57767,6.31069326400757
DRI,Darden Restaurants Inc. Common ,Services,2015-11-11,55.51,-1.35326528549194,21.7361,25.942,3.43354,13.7341537475586
EGLE,Eagle Bulk Shipping Inc. ,Services,2015-11-11,4.75,-0.237237244844437,18.7196,27.7276,0.32682,1.3072806596756
ELOS,Syneron Medical Ltd. ,Healthcare,2015-11-11,6.11,-0.368312507867813,28.9616,21.8053,0.479332,1.91732907295227
FCX,Freeport-McMoRan Copper & Gold ,Basic Materials,2015-11-11,9.31,-0.531571090221405,8.88786,29.6611,1.02897,4.11586809158325
FTK,Flotek Industries Inc. Common  ,Basic Materials,2015-11-11,8.72,-2.21308374404907,21.4364,19.1804,3.00124,12.0049533843994
JOEZ,Joe's Jeans Inc. ,Consumer Goods,2015-11-11,0.2,-0.023951802868396,27.4603,26.6217,0.0279417,0.11176672577858
KRO,Kronos Worldwide Inc Common Sto ,Basic Materials,2015-11-11,6.06,-0.476544559001923,27.5667,29.0485,0.657061,2.62824487686157
LABL,Multi-Color Corporation ,Services,2015-11-11,61.6,-3.79455327987671,26.6578,23.432,5.21424,20.8569755554199
LUK,Leucadia National Corporation C ,Conglomerates,2015-11-11,18.79,-0.186372458934784,8.83259,28.9263,0.517,2.06799817085266
LXU,LSB Industries Inc. Common Sto ,Industrial Goods,2015-11-11,7.12,-1.48904275894165,23.779,17.4536,3.41886,13.6754350662231
M,Macy's Inc Common ,Services,2015-11-11,40.44,-1.75391912460327,20.9876,19.4979,2.43711,9.74842071533203
MCZ,Mad Catz Interactive Inc Common ,Technology,2015-11-11,0.41,-0.0421739965677261,5.09695,23.0869,0.0911661,0.364664256572723
MNKD,MannKind Corporation ,Healthcare,2015-11-11,2.22,-0.190257489681244,15.7193,26.5116,0.420113,1.6804518699646
MW,Men's Wearhouse Inc. (The) Com ,Services,2015-11-11,21.51,-3.19326114654541,8.7225,15.0999,7.49822,29.9928607940674
NGLS,Targa Resources Partners LP Com ,Basic Materials,2015-11-11,26.08,-0.724135518074036,9.49893,28.6319,1.58221,6.32882928848267
NSPH,Nanosphere Inc. ,Healthcare,2015-11-11,1.47,-0.0543669015169144,27.4916,28.1655,0.129636,0.518543124198914
OSTK,Overstock.com Inc. ,Services,2015-11-11,14.01,-0.53375256061554,59.3239,29.9414,0.994724,3.97889447212219
PEIX,Pacific Ethanol Inc. ,Basic Materials,2015-11-11,4.25,-0.31824517250061,7.02065,26.2813,0.717475,2.86990141868591
PRAA,Portfolio Recovery Associates  ,Services,2015-11-11,38.57,-2.79963779449463,7.04799,21.7867,5.10736,20.4294281005859
RDY,Dr. Reddy's Laboratories Ltd Co ,Healthcare,2015-11-11,50.16,-3.15480470657349,13.8674,25.2042,5.66026,22.6410579681396
REXI,Resource America Inc. ,Financial,2015-11-11,5.87,-0.318908512592316,3.40197,22.4357,0.706118,2.82447004318237
RLH,Red Lions Hotels Corporation Co ,Services,2015-11-11,7.04,-0.289437651634216,11.788,28.4516,0.504229,2.01691699028015
