ticker,name,price_date, close_price, macd long,macd short,RSI, Stoch,bolli
BMRN,BioMarin Pharmaceutical Inc. ,2017-12-15,93.02,1.1711772768758237,1.9631215333938599,71.9693,80.5396,0.1472957579025317
CREE,Cree Inc. ,2017-12-15,39.13,0.1979227066040039,0.796603798866272,70.4926,76.9902,0.1654376603048903
CROX,Crocs Inc. ,2017-12-15,12.55,0.08396825194358826,0.2687787413597107,73.1392,71.4486,0.20978176114117905
EDUC,Educational Development Corpora ,2017-12-15,16.75,0.10631206631660461,0.43629157543182373,81.0847,78.2908,0.22862583815130672
EMITF,Elbit Imaging Ltd. ,2017-12-15,2.74,0.05379291996359825,0.09968118090182543,71.8501,73.0634,0.23753976725867532
FCX,Freeport-McMoRan Copper & Gold ,2017-12-15,16.98,0.29154887795448303,0.43937474489212036,77.8941,95.9048,0.245399726185582
NX,Quanex Building Products Corpor ,2017-12-15,24.05,0.33959248661994934,0.6265639662742615,72.6917,84.4859,0.18407343837251758
GLOG, GasLog Ltd. Common Shares ,2017-12-15,20.1,0.2318492829799652,0.35269200801849365,73.1967,94.7407,0.17840888164293336
NUW, Nuveen AMT-Free Municipal Value ,2017-12-15,18.475,0.15014924108982086,0.18340903520584106,77.6421,97.5798,0.11645709930499436
GREK,Global X FTSE Greece 20 ETF,2017-12-15,9.9,0.09154918417334557,0.14639700949192047,71.4544,88.5864,0.13758829161219704
TCFC,The Community Financial Corp. ,2017-12-15,39.99,0.39254701137542725,0.7633227109909058,77.8921,81.3768,0.12286418791879773
ENTA,Enanta Pharmaceuticals Inc. ,2017-12-15,55.83,0.7264778017997742,1.5628788471221924,74.5194,77.188,0.19252385733382082
AHP,Ashford Hospitality Prime Inc. ,2017-12-15,10.26,0.1303472863510251,0.1863664835691452,75.4002,92.4705,0.15453385526033472
ISDR,Issuer Direct Corporation ,2017-12-15,18.95,0.07549652457237244,0.21238446235656738,79.1199,84.4322,0.13127360927105974
LMRK,Landmark Infrastructure Partner,2017-12-15,18.4,0.15078946948051453,0.2514924705028534,75.5196,92.7415,0.10647397571109936
OHAI,OHA Investment Corporation,2017-12-15,1.36,0.01822251608246006,0.04196172021329403,71.7642,78.9087,0.17889877332609858
ONDK,On Deck Capital Inc. Common St,2017-12-15,5.91,0.06662973761558533,0.1242532730102539,72.4734,87.1307,0.21172110259632926
PRAH,PRA Health Sciences Inc.,2017-12-15,90.25,0.8510890007019043,1.6182892322540283,76.7488,91.5748,0.1296704472545724
NXEO,Nexeo Solutions  Inc.,2017-12-15,8.78,0.09574536979198456,0.16768020391464233,74.2759,85.8632,0.18598777086742416
