OS,CF,CF Industries Holdings Inc. Co ,28.85,29.8758
OS,FTR,Frontier Communications Corpora ,2.41,24.3778
OS,KR,Kroger Company (The) Common Sto ,28.84,25.8366
OS,TGT,Target Corporation Common ,54.57,22.5981
OB,A,Agilent Technologies Inc. Comm ,54.1,72.2926
OB,AAPL,Apple Inc. ,140.46,78.087
OB,ADBE,Adobe Systems Incorporated ,122.11,73.2348
OB,ALL,Allstate Corporation (The) Comm ,82.62,72.9272
OB,AMAT,Applied Materials Inc. ,38.92,77.4115
OB,AMGN,Amgen Inc. ,182.6,74.5462
OB,ATVI,Activision Blizzard Inc ,49.22,74.0055
OB,AVGO,Avago Technologies Limited ,225.93,74.7761
OB,BAX,Baxter International Inc. Commo ,52.16,72.7326
OB,BCR,C.R. Bard Inc. Common ,250.72,70.6146
OB,CAH,Cardinal Health Inc. Common St ,83.8,70.4261
OB,CLX,Clorox Company (The) Common Sto ,138.66,77.8089
OB,CSCO,Cisco Systems Inc. ,34.24,70.207
OB,DGX,Quest Diagnostics Incorporated  ,99.74,77.177
OB,EFX,Equifax Inc. Common ,135.19,78.3689
OB,EXPE,Expedia Inc. ,129.48,77.0076
OB,FISV,Fiserv Inc. ,117.65,70.6434
OB,GOOG,Alphabet Inc.,847.2,70.5616
OB,GT,Goodyear Tire & Rubber Company  ,36.88,71.8292
OB,ISRG,Intuitive Surgical Inc. ,746.67,70.4462
OB,ITW,Illinois Tool Works Inc. Common ,135.46,70.3237
OB,JNJ,Johnson & Johnson Common ,128.96,89.4697
OB,KLAC,KLA-Tencor Corporation ,93.61,75.5951
OB,KMB,Kimberly-Clark Corporation Comm ,135,72.3061
OB,LEN,Lennar Corporation Class A Comm ,52.13,71.2217
OB,LOW,Lowe's Companies Inc. Common S ,83.27,71.701
OB,LRCX,Lam Research Corporation ,124.17,72.1866
OB,MDT,Medtronic Inc. Common ,83.3,73.5279
OB,MKC,McCormick & Company Incorporat ,101.87,73.5503
OB,MMM,3M Company Common ,191.2,73.1681
OB,MTD,Mettler-Toledo International I ,485.5,70.1301
OB,NEE,NextEra Energy Inc. Common Sto ,131.9,81.2532
OB,PCLN,priceline.com Incorporated ,1767.98,82.3097
OB,PFE,Pfizer Inc. Common ,34.63,71.1021
OB,PGR,Progressive Corporation (The) C ,40.16,73.7395
OB,PHM,PulteGroup Inc. Common ,23.43,74.4201
OB,PM,Philip Morris International Inc ,112.42,81.5814
OB,ROP,Roper Industries Inc. Common S ,213.93,77.3833
OB,RSG,Republic Services Inc. Common  ,63.69,84.0776
OB,SYK,Stryker Corporation Common Stoc ,132.83,75.4083
OB,SYMC,Symantec Corporation ,30.72,79.4834
OB,TXN,Texas Instruments Incorporated ,81.82,78.4865
OB,V,Visa Inc. ,89.92,70.9262
OB,VAR,Varian Medical Systems Inc. Co ,90.22,71.7449
OB,VRSN,VeriSign Inc. ,86.95,71.9271
OB,VRTX,Vertex Pharmaceuticals Incorpor ,94.57,70.1432
OB,DLPH, Delphi Automotive plc Ordinary  ,82.29,76.7733
OB,EA, Electronic Arts Inc. ,91.51,76.764
OB,FB, Facebook  Inc. ,139.72,73.1835
OB,FBHS, Fortune Brands Home & Security  ,61.14,74.7201
OB,HAS, Hasbro  Inc. ,99.51,71.2467
OB,HOG, Harley-Davidson  Inc. Common St ,62.94,72.4823
OB,HOLX, Hologic  Inc. ,42.78,72.4159
OB,HPQ, Hewlett-Packard Company Common  ,17.57,72.5609
OB,HRB, H&R Block  Inc. Common ,24.42,74.1125
OB,LLY, Eli Lilly and Company Common St ,85.88,74.1782
OB,MSI, Motorola Solutions  Inc. Common ,85.24,70.0798
OB,ABBV,AbbVie Inc. ,66.55,80.1425
OB,GOOGL,Alphabet Inc.,868.39,70.4532
OB,TGNA,TEGNA Inc.,26.19,71.5185
OB,FTV,Fortive Corporation,59.7,70.4447
