ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
MPET,Magellan Petroleum Corporation ,Basic Materials,Independent Oil & Gas
GFED,Guaranty Federal Bancshares In ,Financial,Regional - Southwest  Banks
TSLF,THL Credit Senior Loan Fund Com ,N/A,N/A
IVAC,Intevac Inc. ,Technology,Diversified Electronics
MJCO,Majesco,Technology,Application Software
ELLO,Ellomay Capital Ltd Ordinary Sh,Utilities,Electric Utilities
