ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
FGP,Ferrellgas Partners L.P. Commo ,Basic Materials,Oil & Gas Refining & Marketing
TPX,Tempur-pedic International Inc  ,Consumer Goods,Home Furnishings & Fixtures
GIS,General Mills Inc. Common Stoc ,Consumer Goods,Processed & Packaged Goods
FIZZ,National Beverage Corp. ,Consumer Goods,Beverages - Soft Drinks
VIRT,Virtu Financial  Inc.,Financial,Investment Brokerage - National
OAK, Oaktree Capital Group  LLC Clas ,Financial,Asset Management
TFG, Fixed Income Trust for Goldman  ,N/A,N/A
BOM, PowerShares DB Base Metals Doub ,N/A,N/A
HTZ, Hertz Global Holdings  Inc Comm ,Services,Rental & Leasing Services
AEO,American Eagle Outfitters Inc. ,Services,Apparel Stores
TXRH,Texas Roadhouse Inc. ,Services,Restaurants
BWLD,Buffalo Wild Wings Inc. ,Services,Restaurants
