MITL,Mitel Networks Corporation ,Bullish
MSFT,Microsoft Corporation ,Bullish
PG,Procter & Gamble Company (The)  ,Bullish
PKX,POSCO Common ,Bullish
RTN,Raytheon Company Common ,Bullish
WLB,Westmoreland Coal Company ,Bullish
SXC, SunCoke Energy  Inc. Common Sto ,Bullish
SDD,ProShares UltraShort SmallCap600 ETF,Bullish
DSKY,iDreamSky Technology Limited,Bullish
CSII,Cardiovascular Systems Inc. ,Bearish
MRCY,Mercury Computer Systems ,Bearish
SILC,Silicom Ltd ,Bearish
SLXP,Salix Pharmaceuticals Ltd. ,Bearish
EA, Electronic Arts Inc. ,Bearish
HAR, Harman International Industries ,Bearish
HURN, Huron Consulting Group Inc. ,Bearish
HZO, MarineMax  Inc. Common ,Bearish
SMLR,Semler Scientific Inc ,Bearish
