ACOR,Acorda Therapeutics Inc. ,Bullish
DF,Dean Foods Company Common ,Bullish
EDE,Empire District Electric Compan ,Bullish
ETR,Entergy Corporation Common Stoc ,Bullish
NTGR,NETGEAR Inc. ,Bullish
SYNL,Synalloy Corporation ,Bullish
WILC,G. Willi-Food International  L ,Bullish
FXCH, CurrencyShares Chinese Renminbi ,Bullish
GEOS, Geospace Technologies Corporati ,Bullish
ITIP,iShares International Inflation-Linked ETF,Bullish
EMLC,Market Vectors Emerging Markets Local Currency Bond ETF,Bullish
WIP,SPDR DB International Government Inflation-Protected Bond ETF,Bullish
COUP,Coupons.com Incorporated ,Bullish
TBK,Triumph Bancorp Inc.,Bullish
AMKR,Amkor Technology Inc. ,Bearish
CBM,Cambrex Corporation Common Stoc ,Bearish
CONN,Conn's Inc. ,Bearish
CR,Crane Company Common ,Bearish
IPGP,IPG Photonics Corporation ,Bearish
LNKD,LinkedIn Corporation Class A Co ,Bearish
MLM,Martin Marietta Materials Inc. ,Bearish
NICE,NICE-Systems Limited ,Bearish
NUS,Nu Skin Enterprises Inc. Commo ,Bearish
TW,Towers Watson & Co Common ,Bearish
VMC,Vulcan Materials Company (Holdi ,Bearish
XLS, Exelis Inc. Common ,Bearish
