ticker,name,price_date, close_price, macd long,macd short,RSI, Stoch,bolli
AHPI,Allied Healthcare Products Inc ,2017-05-01,1.76,-0.020862510427832603,-0.037881650030612946,35.3006,24.1078,0.1537696252395834
ARAY,Accuray Incorporated ,2017-05-01,4.38,-0.011383980512619019,-0.05129900574684143,33.216,26.3458,0.11918656991744944
AVT,Avnet Inc. Common ,2017-05-01,38.17,-0.5989803671836853,-1.358241319656372,18.2327,32.7598,0.1778243610851789
BKS,Barnes & Noble Inc. Common Sto ,2017-05-01,8.4,-0.04620405286550522,-0.08751508593559265,36.1799,19.4702,0.12365473957804364
BMS,Bemis Company Inc. Common Stoc ,2017-05-01,44.45,-0.4279574751853943,-1.1024788618087769,24.9357,35.6869,0.11984364256558074
BRS,Bristow Group Inc. Common ,2017-05-01,12.91,-0.06549696624279022,-0.23170381784439087,35.3583,30.3709,0.1515313145020143
CCJ,Cameco Corporation Common ,2017-05-01,9.67,-0.14500391483306885,-0.28095248341560364,31.5407,16.009,0.18849085298441257
CCO,Clear Channel Outdoor Holdings ,2017-05-01,5.15,-0.1115817092359066,-0.1598098874092102,28.9637,5.54395,0.19587249444502136
CTB,Cooper Tire & Rubber Company Co ,2017-05-01,38.05,-0.7090788884088397,-1.2606911659240723,27.2419,21.2449,0.16774443204837328
DNN,Denison Mines Corp Ordinary Sha ,2017-05-01,0.52,-0.007518056780099869,-0.014078713953495026,26.9038,11.7592,0.2313166210782045
EGHT,8x8 Inc ,2017-05-01,12.85,-0.144748717546463,-0.3184834122657776,30.5232,20.46,0.14603148135343288
ETM,Entercom Communications Corpora ,2017-05-01,12.1,-0.06923425197601318,-0.1616414189338684,28.6857,9.51235,0.17127625938825672
FCN,FTI Consulting Inc. Common Sto ,2017-05-01,34.81,-0.7943345755338669,-1.6258037090301514,22.8383,26.2422,0.23352621204990517
GG,Goldcorp Incorporated Common St ,2017-05-01,13.65,-0.1389952003955841,-0.2366982102394104,31.6077,15.4987,0.13397977609094086
GSH,Guangshen Railway Company Limit ,2017-05-01,27.19,-0.40345972776412964,-0.6596766710281372,18.9807,2.30562,0.17887182617446243
ISLE,Isle of Capri Casinos Inc. ,2017-05-01,22.98,-0.4228390082716942,-0.7542284727096558,30.5945,28.5991,0.18589008739876267
KIM,Kimco Realty Corporation Common ,2017-05-01,20.43,-0.17493322491645813,-0.3185843825340271,28.1795,4.97573,0.12753023766460936
KS,KapStone Paper and Packaging Co ,2017-05-01,20.42,-0.2709745243191719,-0.7056242525577545,33.1651,36.6095,0.17617084479824233
OIS,Oil States International Inc.  ,2017-05-01,28.85,-0.25654417276382446,-0.5809041261672974,32.2348,25.2444,0.15005973000995212
PATH,NuPathe Inc. ,2017-05-01,2.61,,,39.4497,20.321,0.22524924478608052
PSA,Public Storage Common ,2017-05-01,207.23,-2.310680978000164,-4.681637287139893,24.6104,15.2503,0.11750550248565035
RDC,Rowan Companies plc Class A Ord ,2017-05-01,13.56,-0.010153025388717651,-0.09761679172515869,33.4235,24.4943,0.1445483423731128
RDN,Radian Group Inc. Common ,2017-05-01,16.52,-0.20721419574692845,-0.538170576095581,32.068,29.8167,0.1706328604074537
TRK,Speedway Motorsports Inc. Comm ,2017-05-01,17.98,-0.12123790383338928,-0.3804912865161896,32.3707,33.1091,0.10683918507913535
TZOO,Travelzoo Inc. ,2017-05-01,8.9,-0.08689291402697563,-0.15713953971862793,37.405,18.3895,0.12322355026498844
UEC,Uranium Energy Corp. Common Sto ,2017-05-01,1.24,-0.02214262168854475,-0.03961876779794693,35.4206,2.89961,0.2321084717132185
URRE,Uranium Resources Inc. ,2017-05-01,1.63,-0.02523881196975708,-0.043524548411369324,35.7426,6.37911,0.23966594658986876
WCC,WESCO International Inc. Commo ,2017-05-01,60.5,-0.5498039722442627,-1.1194725036621094,30.5183,22.5537,0.1778719950480304
XPL,Solitario Exploration & Royalty ,2017-05-01,0.75,-0.010141286184079945,-0.016435607336461544,36.8565,17.4603,0.12456661166601497
AGF, DB Agriculture Long ETN DB Agri ,2017-05-01,9.43,-0.21383285522460938,-0.4419395327568054,17.8207,24.7364,0.21239839759641133
CPAC, Cementos Pacasmayo S.A.A. Ameri ,2017-05-01,10.3,-0.13158395886421204,-0.17015799740329385,36.9246,15.0104,0.1329855128296941
DBS, PowerShares DB Silver Fund ,2017-05-01,26.19,-0.24956818483769894,-0.3552260398864746,24.9607,3.14384,0.12216833706370421
HEES, H&E Equipment Services  Inc. ,2017-05-01,20.87,-0.26860836148262024,-0.4916973114013672,33.3446,21.8851,0.19700720574809788
HIBB, Hibbett Sports  Inc. ,2017-05-01,25.65,-0.236270010471344,-0.39522993564605713,31.2151,10.6948,0.1599776027113853
HP, Helmerich & Payne  Inc. Common  ,2017-05-01,58.79,-0.7222131490707397,-1.3272995948791504,21.0824,18.7775,0.15538041815737494
ICON, Iconix Brand Group  Inc. ,2017-05-01,6.91,-0.020368792116642,-0.0940612405538559,35.5012,35.675,0.11555194599642298
PSLV, Sprott Physical Silver Trust ET ,2017-05-01,6.38,-0.05992151517421007,-0.08454158157110214,26.1016,6.20542,0.11985267934981471
RPAI, Retail Properties of America  I ,2017-05-01,13.36,-0.11717650294303894,-0.21563905477523804,23.7327,7.57982,0.10922787783145267
SIVR, ETFS Physical Silver Shares Tru ,2017-05-01,16.51,-0.15405402705073357,-0.22137725353240967,26.1546,6.09537,0.11902470763813525
SLV, iShares Silver Trust ,2017-05-01,15.99,-0.15035565476864576,-0.2172025442123413,25.8416,5.82042,0.11854765379314704
SMBC, Southern Missouri Bancorp  Inc. ,2017-05-01,32.5,-0.18823932064697146,-0.4136773943901062,31.3511,30.1055,0.10300855910039078
SRC, Spirit Realty Capital  Inc. Com ,2017-05-01,9.15,-0.11883217096328735,-0.2363119125366211,20.5341,3.34334,0.1408671623123256
TECS, Direxion Technology Bear 3X Sha ,2017-05-01,11.82,-0.10702906548976898,-0.1592850685119629,23.9063,3.73177,0.14020768160698263
USV, E-TRACS USB Bloomberg Commodity ,2017-05-01,21.93,-0.18939514085650444,-0.3475813865661621,20.3001,11.1111,0.1002554664403488
URA,Global X Uranium ETF,2017-05-01,13.19,-0.18135997653007507,-0.3067286014556885,24.6787,1.40644,0.20729411834233852
AGQ,ProShares Ultra Silver ETF,2017-05-01,35.29,-0.6909589841961861,-0.9854226112365723,25.9049,5.54513,0.23609988199318785
SQQQ,ProShares UltraPro Short QQQ ETF,2017-05-01,33.27,-0.41241103410720825,-0.5881068706512451,22.9726,4.18056,0.16294546968388582
BIS,ProShares UltraShort Nasdaq Biotechnology ETF,2017-05-01,26.58,-0.20835193991661072,-0.3100438714027405,35.4428,7.49139,0.10961020661536922
QID,ProShares UltraShort QQQ ETF,2017-05-01,17.76,-0.12298989295959473,-0.17964929342269897,21.0737,4.96588,0.10812684246861819
BTG,B2Gold Corp. ,2017-05-01,2.41,-0.031612612307071686,-0.04376243054866791,28.691,19.217,0.23137122914055197
NSEC,National Security Group Inc. ,2017-05-01,15,-0.13423745334148407,-0.2736731767654419,24.2116,21.7881,0.12491069740754106
SLVO,Credit Suisse Silver Shares Cov Call ETN ,2017-05-01,8.51,-0.07182552479207516,-0.10945510864257812,24.7933,5.94268,0.10616248485225939
EFOI,Energy Focus Inc.,2017-05-01,2.86,-0.002799578011035919,-0.036211684346199036,35.2289,19.6603,0.15890153878690083
LEU,Centrus Energy Corp. Class A Co,2017-05-01,4.96,-0.09603427723050117,-0.1704159677028656,31.3699,14.4079,0.20628735462976594
SYF,Synchrony Financial Common Stoc,2017-05-01,27.94,-0.44111108779907227,-1.2379621267318726,21.6222,34.2365,0.21024731612870265
TIME,Time Inc. Common,2017-05-01,15.2,-0.3293043375015259,-0.7547780275344849,18.7705,29.1881,0.23944273863304272
ICBK,County Bancorp Inc.,2017-05-01,25.53,-0.41898274421691895,-0.5812879800796509,32.5033,16.8541,0.2084034859041166
