AAPL
price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
2015-09-29,109.06,-1.0349172949791,57.8511,40.2479,2.87582,11.5032644271851
2015-09-28,112.44,-0.259942531585693,67.2911,46.4714,2.74439,10.9775676727295
2015-09-25,114.71,0.191865831613541,70.1497,51.4309,2.7405,10.9620008468628
2015-09-24,115,0.214579224586487,68.8684,52.0904,2.72576,10.9030599594116
2015-09-23,114.32,0.0830379128456116,69.9772,50.7144,2.88168,11.5267238616943
2015-09-22,113.4,0.0568304657936096,71.9378,48.8695,3.80622,15.2248620986938
2015-09-21,115.21,0.399133861064911,77.9398,52.4567,4.75909,19.0363578796387
2015-09-18,113.45,0.303259789943695,84.9289,49.0819,5.31868,21.2747249603271
2015-09-17,113.92,0.77594256401062,90.9206,49.9614,5.42339,21.6935558319092
2015-09-16,116.41,1.47047400474548,93.0799,54.7907,5.44609,21.7843761444092
2015-09-15,116.28,1.58926248550415,92.2386,54.5778,5.3539,21.4156074523926
2015-09-14,115.31,1.4756715297699,89.2455,53.046,5.26781,21.0712203979492
2015-09-11,114.21,1.24061512947083,84.0449,51.3172,5.28916,21.1566410064697
2015-09-10,112.57,0.869482040405273,78.6998,48.7024,5.41933,21.6773262023926
2015-09-09,110.15,0.551105499267578,74.7122,44.6277,5.60911,22.4364566802979
2015-09-08,112.31,0.81888484954834,72.5931,47.7729,5.94339,23.7735633850098
2015-09-04,109.27,0.382937431335449,72.5027,42.4746,5.98692,23.9476909637451
2015-09-03,110.37,0.718843936920166,73.0297,43.9736,6.20208,24.8083057403564
2015-09-02,112.34,0.9635910987854,75.7847,46.7151,6.47415,25.8965854644775
2015-09-01,107.72,0.538615226745605,75.534,38.3445,6.7488,26.9952011108398
2015-08-31,112.76,1.57598447799683,70.6831,45.6012,6.99361,27.9744205474854
2015-08-28,113.29,1.50890684127808,60.447,46.4599,7.13797,28.5518627166748
2015-08-27,112.92,0.844864845275879,45.2442,45.7984,7.19144,28.7657470703125
2015-08-26,109.69,-0.606317520141602,32.3496,39.7654,7.22201,28.8880252838135
2015-08-25,103.74,-2.18974876403809,23.5257,25.6003,7.17344,28.6937732696533
2015-08-24,103.12,-2.38369083404541,27.421,23.8679,6.74192,26.9676704406738
2015-08-21,105.76,-1.58936929702759,36.8226,26.2881,6.14056,24.5622310638428
2015-08-20,112.65,-0.17122220993042,46.3743,34.8524,5.62063,22.4825000762939
2015-08-19,115.01,0.376381397247314,48.5716,38.8813,5.50333,22.0133209228516
2015-08-18,116.5,0.668343544006348,45.1669,41.7079,5.45397,21.8158664703369
2015-08-17,117.16,0.64546537399292,37.5368,42.9934,5.50966,22.0386543273926
2015-08-14,115.96,0.257802486419678,32.832,39.8639,5.63007,22.5202674865723
2015-08-13,115.15,-0.0446286201477051,28.2461,37.721,5.59755,22.3902168273926
2015-08-12,115.24,-0.21395206451416,28.138,37.8602,5.46521,21.8608226776123
2015-08-11,113.49,-0.408036708831787,22.7855,33.4246,5.26824,21.0729465484619
2015-08-10,119.72,0.208552360534668,18.435,43.7475,4.87836,19.5134429931641
2015-08-07,115.52,-0.969051361083984,12.5502,30.2652,4.82357,19.2942962646484
