ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
AAME,Atlantic American Corporation ,Financial,2016-05-17,3.35,-0.141745656728745,10.9668,21.8612,0.354056,1.4162220954895
ARP,Atlas Resource Partners L.P. C ,Services,2016-05-17,0.36,-0.0443031638860703,5.37228,23.4774,0.11664,0.466560393571854
ATSG,Air Transport Services Group I ,Services,2016-05-17,12.62,-0.214804023504257,21.7539,26.4835,0.614312,2.4572491645813
BBX,BankAtlantic Bancorp Inc. New  ,Financial,2016-05-17,14.32,-0.17083115875721,17.8682,29.7271,0.30552,1.22207856178284
BITA,Bitauto Holdings Limited Americ ,Technology,2016-05-17,19.33,-1.18063640594482,12.3116,25.3706,2.35088,9.40351295471191
BOOT,LaCrosse Footwear Inc. ,Consumer Goods,2016-05-17,6.15,0,10.1136,28.0391,0.692015,2.76806020736694
CHS,Chico's FAS Inc. Common ,Services,2016-05-17,10.96,-0.225531935691833,3.49064,29.985,0.676132,2.70452666282654
CNTF,China TechFaith Wireless Commun ,Technology,2016-05-17,2.39,-0.23188728094101,7.46224,21.1364,0.501369,2.00547695159912
COKE,Coca-Cola Bottling Co. Consolid ,Consumer Goods,2016-05-17,133.26,-5.49925327301025,12.545,24.7932,9.14912,36.596492767334
DECK,Deckers Outdoor Corporation ,Consumer Goods,2016-05-17,49.38,-1.31255555152893,4.18247,23.4624,2.98241,11.9296274185181
DKS,Dick's Sporting Goods Inc Commo ,Services,2016-05-17,39.53,-1.0793628692627,3.77145,25.9901,2.52066,10.0826530456543
ESLT,Elbit Systems Ltd. ,NULL,2016-05-17,90.56,-1.7287285104394,20.7989,29.7141,2.61187,10.4474678039551
EVOL,Evolving Systems Inc. ,Technology,2016-05-17,5.4,-0.0408534109592438,3.9195,28.9386,0.121201,0.484805017709732
JMBA,Jamba Inc. ,Services,2016-05-17,11.33,-0.261848330497742,5.42761,20.2063,0.650016,2.60006260871887
JWN,Nordstrom Inc. Common ,Services,2016-05-17,37.65,-2.03067016601562,3.35719,16.1974,4.85932,19.4372749328613
LINE,Linn Energy LLC ,Basic Materials,2016-05-17,0.1,-0.0379190742969513,5.27906,28.2417,0.0941432,0.376572698354721
