SPY
price_date, close_price, bollidiff,rsi_14, dma_20,dma_20_sd,perb,dma_20_top, dma_20_bottom
2015-10-09,201.5,56.4503,15.0760097503662,195.626,3.769,0.889592785884819,13.411509513855,-1.66450023651123
2015-10-08,201.21,56.4504,14.200511932373,195.392,3.55013,0.909704132538221,12.9182643890381,-1.28224754333496
2015-10-07,199.43,56.4503,13.5046348571777,195.124,3.37616,0.818853475225265,11.0583171844482,-2.44631767272949
2015-10-06,197.81,53.7064,13.6546430587769,194.891,3.41366,0.713809662862602,9.74681615829468,-3.90782690048218
2015-10-05,198.48,55.0383,13.6439790725708,194.873,3.41099,0.764365300600437,10.4289841651917,-3.21499490737915
2015-10-02,194.99,48.9104,15.2314329147339,194.579,3.80786,0.527016435403096,8.02721548080444,-7.20421743392944
2015-10-01,192.16,43.0677,16.1723918914795,194.611,4.0431,0.348414982395901,5.63470363616943,-10.5376882553101
2015-09-30,191.59,41.8234,17.2082347869873,194.771,4.30206,0.315117393777992,5.42261409759521,-11.7856206893921
2015-09-29,188.08,33.5145,19.704345703125,194.788,4.92609,0.159567861081168,3.14418029785156,-16.5601654052734
2015-09-28,187.91,33.0847,19.6336097717285,195.261,4.9084,0.125591115934789,2.46580696105957,-17.1678028106689
2015-09-25,192.87,40.1096,19.1094875335693,195.827,4.77737,0.34523372135095,6.59723949432373,-12.5122480392456
2015-09-24,192.93,40.2055,19.6700973510742,196.142,4.91752,0.33670616581575,6.62304306030273,-13.0470542907715
2015-09-23,193.6,41.2274,21.8278751373291,196.229,5.45697,0.379535407480523,8.28445148468018,-13.5434236526489
2015-09-22,193.9,41.6678,27.7354774475098,195.911,6.93387,0.427493529155215,11.8567371368408,-15.8787403106689
2015-09-21,196.44,45.488,32.0618896484375,195.693,8.01547,0.523283273240917,16.7774505615234,-15.2844390869141
2015-09-18,195.36,43.4407,33.4980964660645,195.753,8.37452,0.488267829740956,16.3560428619385,-17.142053604126
2015-09-17,199.7,50.5207,33.7994232177734,196.184,8.44986,0.604040081640429,20.4162063598633,-13.3832168579102
2015-09-16,200.14,51.3082,33.665828704834,196.613,8.41646,0.604779726909979,20.3604106903076,-13.3054180145264
2015-09-15,198.45,48.4429,33.5200843811035,197.102,8.38002,0.5402144555495,18.1080341339111,-15.4120502471924
2015-09-14,195.98,43.9679,33.510814666748,197.709,8.3777,0.448404599427252,15.026403427124,-18.484411239624
2015-09-11,196.81,45.1919,33.4762725830078,198.378,8.36907,0.453160602962486,15.1701278686523,-18.3061447143555
2015-09-10,195.85,43.5029,33.4620666503906,198.973,8.36552,0.406685453973379,13.6085357666016,-19.8535308837891
2015-09-09,194.76,43.5027,33.3618850708008,199.622,8.34047,0.354279480306595,11.8194313049316,-21.5424537658691
2015-09-08,197.46,47.0166,33.1022148132324,200.316,8.27555,0.413706949671376,13.694616317749,-19.4075984954834
2015-09-04,192.59,38.7275,33.0057258605957,200.975,8.25143,0.245952874933269,8.11785316467285,-24.8878726959229
2015-09-03,195.65,42.6177,32.204460144043,201.742,8.05112,0.310848965305988,10.0107231140137,-22.1937370300293
2015-09-02,195.36,42.1061,31.7802677154541,202.376,7.94507,0.27921851339331,8.87363910675049,-22.9066286087036
2015-09-01,191.92,35.7993,31.154727935791,203.113,7.78868,0.140712744236732,4.38386726379395,-26.7708606719971
2015-08-31,197.54,42.8869,29.5039596557617,203.984,7.37599,0.281605179844655,8.30846786499023,-21.1954917907715
