ABT,Abbott Laboratories Common Stoc ,Bullish
ALXN,Alexion Pharmaceuticals Inc. ,Bullish
C,Citigroup Inc. Common ,Bullish
CAT,Caterpillar Inc. Common ,Bullish
CBS,CBS Corporation Class B Common  ,Bullish
DE,Deere & Company Common ,Bullish
EBAY,eBay Inc. ,Bullish
FDX,FedEx Corporation Common ,Bullish
GS,Goldman Sachs Group Inc. (The) ,Bullish
MS,Morgan Stanley Common ,Bullish
MYL,Mylan Inc. ,Bullish
PPG,PPG Industries Inc. Common Sto ,Bullish
PRGO,Perrigo Company ,Bullish
QCOM,QUALCOMM Incorporated ,Bullish
SCHW,Charles Schwab Corporation (The ,Bullish
SLB,Schlumberger N.V. Common ,Bullish
TWX,Time Warner Inc. New Common Sto ,Bullish
UTX,United Technologies Corporation ,Bullish
VRTX,Vertex Pharmaceuticals Incorpor ,Bullish
YHOO,Yahoo! Inc. ,Bullish
ETN, Eaton Corporation Common ,Bullish
HON, Honeywell International Inc. Co ,Bullish
STT, State Street Corporation Common ,Bullish
HYG,iShares iBoxx $ HY Corp Bond Fund ETF,Bullish
EFA,iShares MSCI EAFE Index Fund ETF,Bullish
EWJ,iShares MSCI Japan Index Fund ETF,Bullish
ABBV,AbbVie Inc. ,Bullish
MHFI,McGraw Hill Financial Inc. ,Bullish
AMZN,Amazon.com Inc. ,Bearish
HUM, Humana Inc. Common ,Bearish
SHY,iShares Barclays 1-3 Year Treasury Bond Fund ETF,Bearish
