ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
IFF, Internationa Flavors & Fragranc ,Basic Materials,Specialty Chemicals
UL,Unilever PLC Common ,Consumer Goods,Food - Major Diversified
CNS,Cohn & Steers Inc Common ,Financial,Asset Management
AET,Aetna Inc. Common ,Healthcare,Health Care Plans
CI,Cigna Corporation Common ,Healthcare,Health Care Plans
SZO, PowerShares DB Crude Oil Short  ,N/A,N/A
CVTI,Covenant Transportation Group  ,Services,Trucking
VAC, Marriot Vacations Worldwide Cor ,Services,Resorts & Casinos
CSOD, Cornerstone OnDemand  Inc. ,Technology,Multimedia & Graphics Software
DNB,Dun & Bradstreet Corporation (T ,Technology,Information & Delivery Services
FTNT,Fortinet Inc. ,Technology,Application Software
XLNX,Xilinx Inc. ,Technology,Semiconductor - Specialized
CUB,Cubic Corporation Common ,Technology,Scientific & Technical Instruments
SMTC,Semtech Corporation ,Technology,Semiconductor - Integrated Circuits
