ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
COP,ConocoPhillips Common ,Basic Materials,2015-10-09,56.1,1.31309008598328,96.8566,71.1844,3.36427,13.4570608139038
COST,Costco Wholesale Corporation ,Services,2015-10-09,153.97,1.57822465896606,93.3101,74.6944,3.89871,15.5948305130005
CVX,Chevron Corporation Common Stoc ,Basic Materials,2015-10-09,89.57,2.05184531211853,94.5114,71.2653,4.71495,18.8598136901855
DD,E.I. du Pont de Nemours and Com ,Basic Materials,2015-10-09,56.18,1.54500031471252,80.5096,74.3197,3.22259,12.8903665542603
ECL,Ecolab Inc. Common ,Consumer Goods,2015-10-09,120.54,1.68195152282715,98.4374,70.1716,3.95839,15.8335437774658
EMC,EMC Corporation Common ,Technology,2015-10-09,27.86,0.760622203350067,96.2186,74.6021,1.15002,4.60008239746094
EOG,EOG Resources Inc. Common Stoc ,Basic Materials,2015-10-09,87.3,2.61114406585693,93.5289,70.67,5.01495,20.0597858428955
GE,General Electric Company Common ,Industrial Goods,2015-10-09,28.07,0.510669469833374,96.3919,72.0662,1.18985,4.75938510894775
INTC,Intel Corporation ,Technology,2015-10-09,32.14,0.368701696395874,96.6587,70.0091,1.36481,5.4592342376709
KO,Coca-Cola Company (The) Common  ,Consumer Goods,2015-10-09,42.02,0.379693031311035,95.5044,71.8316,1.1827,4.73078680038452
PEP,Pepsico Inc. Common ,Consumer Goods,2015-10-09,99.47,1.0835428237915,94.0284,71.4009,2.49773,9.9909143447876
