MMM
ABT
ABBV
ACN
ACE
ADBE
AET
AFL
APD
ALXN
AGN
ALL
GOOGL
GOOG
MO
AMZN
AAL
AEP
AXP
AIG
AMT
AMGN
APC
ANTM
AON
AAPL
ADM
T
ADP
AZO
AVGO
AVB
BHI
BAC
BK
BBT
BDX
BRKB
BIIB
BLK
BKCC
BA
BSX
BMY
BRCM
COF
CAH
CCL
CAT
CELG
SCHW
CVX
CMG
CB
CI
CSCO
C
CME
KO
CTSH
CL
CMCSA
CMCSK
COP
STZ
COST
CCI
CSX
CVS
DHR
DE
DLPH
DAL
DVN
DFS
D
DOW
DUK
ETN
EBAY
ECL
DD
LLY
EMC
EMR
EOG
EQR
EXC
ESRX
XOM
FB
FDX
FISV
F
GD
GE
GIS
GM
GILD
GS
HAL
HCA
HPQ
HD
HON
HUM
ITW
INTC
ICE
IBM
INTU
JNJ
JCI
JPM
KMB
KMI
KHC
KR
LB
LMT
LOW
LYB
MPC
MMC
MA
MCD
MHFI
MCK
MDT
MRK
MET
MSFT
MDLZ
MON
MS
NFLX
NEE
NKE
NSC
NOC
OXY
ORCL
ORLY
PYPL
PEP
PRGO
PFE
PCG
PM
PSX
PNC
PPG
PPL
PX
PCP
PCLN
PG
PLD
PRU
PEG
PSA
QCOM
RTN
REGN
RAI
CRM
SLB
SRE
SPG
SO
LUV
SBUX
STT
SYK
SYY
TGT
TEL
TXN
TMO
TWC
TWX
TJX
TRV
FOXA
FOX
UNP
UAL
UNH
UPS
UTX
USB
VLO
VZ
VRTX
VFC
V
WBA
WMT
DIS
WM
WFC
HCN
WMB
YHOO
YUM
