10394,EWHS,iShares MSCI Hong Kong Small Cap,Global Equity ETF,
10404,EWM,iShares MSCI Malaysia Index Fund ETF,Global Equity ETF,
1405,EXAR,Exar Corporation ,Technology,Semiconductor - Integrated Circuits
1426,F,Ford Motor Company Common ,Consumer Goods,Auto Manufacturers - Major
1441,FC,Franklin Covey Company Common S ,Services,Education & Training Services
1449,FCH,FelCor Lodging Trust Incorporat ,Financial,REIT - Hotel/Motel
1452,FCS,Fairchild Semiconductor Interna ,Technology,Semiconductor - Integrated Circuits
1477,FFIN,First Financial Bankshares Inc ,Financial,Regional - Southwest  Banks
4553,FFN, FriendFinder Networks Inc. ,Technology,Internet Software & Services
1489,FII,Federated Investors Inc. Commo ,Financial,Asset Management
10055,FPA,First Trust Asia Pacific Ex-Japan AlphaDEX ETF,Global Equity ETF,
4577,FPT, Federated Premier Intermediate  ,N/A,N/A
1555,FSGI,First Security Group Inc. ,Financial,Savings & Loans
4587,FSL, Freescale Semiconductor  Ltd Co ,Technology,Semiconductor - Broad Line
4588,FSM, Fortuna Silver Mines Inc Ordina ,Basic Materials,Silver
1581,FURX,Furiex Pharmaceuticals Inc. ,Services,Business Services
4615,GBB, iPath Goldman Sachs iPath GBP/U ,N/A,N/A
1611,GCOM,Globecomm Systems Inc. ,Technology,Networking & Communication Devices
4647,GIM, Templeton Global Income Fund  I ,Financial,Closed-End Fund - Debt
1656,GKK,Gramercy Capital Corp Common St ,Financial,REIT - Diversified
4657,GLADP, Gladstone Capital Corporation ,N/A,N/A
1668,GLPW,Global Power Equipment Group In ,Industrial Goods,Diversified Machinery
1683,GNI,Great Northern Iron Ore Propert ,Basic Materials,Steel & Iron
1701,GPK,Graphic Packaging Holding Compa ,Consumer Goods,Packaging & Containers
1709,GPX,GP Strategies Corporation Commo ,Services,Education & Training Services
1722,GRZ,Gold Reserve Inc Common ,Basic Materials,Gold
4705,GTLS, Chart Industries  Inc. ,Industrial Goods,Metal Fabrication
4728,GYB, CABCO Series 2004-101 Trust Gol ,N/A,N/A
4752,HBHC, Hancock Holding Company ,Financial,Regional - Southeast Banks
4778,HDSN, Hudson Technologies  Inc. ,Services,Industrial Equipment Wholesale
4785,HELE, Helen of Troy Limited ,Consumer Goods,Housewares & Accessories
4833,HLS, HealthSouth Corporation Common  ,Healthcare,Specialized Health Services
4916,HTGC, Hercules Technology Growth Capi ,Financial,Mortgage Investment
10903,HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF,Fixed Income ETF,
4965,IBCA, Intervest Bancshares Corp. ,Financial,Credit Services
10298,IFAS,iShares FTSE EPRA/NAREIT Asia Index Fund ETF,Global Equity ETF,
