Calculating EMA10
5612	153	141	127
5618	11	-1	-15
missing:em12	5618	-1
missing:ema26	5618	-15
5622	196	184	170
5628	13	1	-13
missing:ema26	5628	-13
5634	160	148	134
5639	11	-1	-15
missing:em12	5639	-1
missing:ema26	5639	-15
5642	128	116	102
5643	148	136	122
5645	182	170	156
5647	246	234	220
5650	105	93	79
5652	123	111	97
5653	141	129	115
5658	222	210	196
5659	210	198	184
5668	153	141	127
5669	147	135	121
5670	44	32	18
5672	105	93	79
5683	182	170	156
5686	134	122	108
5688	94	82	68
5692	182	170	156
5703	10	-2	-16
missing:em12	5703	-2
missing:ema26	5703	-16
5708	163	151	137
5714	187	175	161
5721	20	8	-6
missing:ema26	5721	-6
5722	106	94	80
5723	218	206	192
5724	68	56	42
5732	133	121	107
5733	140	128	114
5742	170	158	144
5745	200	188	174
5747	176	164	150
5748	11	-1	-15
missing:em12	5748	-1
missing:ema26	5748	-15
5757	125	113	99
5760	198	186	172
5763	65	53	39
5770	179	167	153
5772	22	10	-4
missing:ema26	5772	-4
5780	227	215	201
5782	82	70	56
5787	20	8	-6
missing:ema26	5787	-6
5788	165	153	139
5789	118	106	92
5791	143	131	117
5793	52	40	26
5802	254	242	228
5813	122	110	96
5818	220	208	194
5822	224	212	198
5828	105	93	79
5830	98	86	72
5835	84	72	58
5839	252	240	226
5840	46	34	20
5842	133	121	107
5879	182	170	156
5887	182	170	156
5890	105	93	79
5895	35	23	9
5902	182	170	156
5904	244	232	218
5908	148	136	122
5912	169	157	143
5919	151	139	125
5928	152	140	126
5934	190	178	164
5936	8	-4	-18
missing:em12	5936	-4
missing:ema26	5936	-18
5944	117	105	91
5947	11	-1	-15
missing:em12	5947	-1
missing:ema26	5947	-15
5951	191	179	165
5955	151	139	125
5961	117	105	91
5964	221	209	195
5966	50	38	24
5967	20	8	-6
missing:ema26	5967	-6
5988	166	154	140
5990	158	146	132
5998	258	246	232
5999	217	205	191
6000	105	93	79
10001	190	178	164
10004	73	61	47
10005	108	96	82
10011	27	15	1
10016	73	61	47
10038	49	37	23
10056	173	161	147
10059	173	161	147
10060	36	24	10
10065	175	163	149
10072	175	163	149
10077	173	161	147
10079	170	158	144
10116	176	164	150
10117	169	157	143
10119	170	158	144
10128	18	6	-8
missing:ema26	10128	-8
10129	18	6	-8
missing:ema26	10129	-8
10146	223	211	197
10153	133	121	107
10154	225	213	199
10155	225	213	199
10158	239	227	213
10160	70	58	44
10174	118	106	92
10176	116	104	90
10177	147	135	121
10178	118	106	92
10179	147	135	121
10180	147	135	121
10225	84	72	58
10226	59	47	33
10241	176	164	150
10242	170	158	144
10243	128	116	102
10244	94	82	68
10254	176	164	150
10256	173	161	147
10263	170	158	144
10291	133	121	107
10292	144	132	118
10293	257	245	231
10294	175	163	149
10308	144	132	118
10309	141	129	115
10318	173	161	147
10333	185	173	159
10334	180	168	154
10348	257	245	231
10351	190	178	164
10358	190	178	164
10362	189	177	163
10364	257	245	231
10366	180	168	154
10368	181	169	155
10369	175	163	149
10371	195	183	169
10373	181	169	155
10374	195	183	169
10376	257	245	231
10378	180	168	154
10382	190	178	164
10384	31	19	5
10386	190	178	164
10387	186	174	160
10388	186	174	160
10389	186	174	160
10390	186	174	160
10391	186	174	160
10394	199	187	173
10395	185	173	159
10396	181	169	155
10408	193	181	167
10413	189	177	163
10423	190	178	164
10425	255	243	229
10427	200	188	174
10488	173	161	147
10491	206	194	180
10492	204	192	178
10497	116	104	90
10500	139	127	113
10508	153	141	127
10510	144	132	118
10515	129	117	103
10517	212	200	186
10518	213	201	187
10520	70	58	44
10524	206	194	180
10527	212	200	186
10533	174	162	148
10546	249	237	223
10550	242	230	216
10552	242	230	216
10553	116	104	90
10557	167	155	141
10642	249	237	223
10643	249	237	223
10645	249	237	223
10649	249	237	223
10659	170	158	144
10660	170	158	144
10661	197	185	171
10666	199	187	173
10684	200	188	174
10686	189	177	163
10690	200	188	174
10691	228	216	202
10694	73	61	47
10712	70	58	44
10758	180	168	154
10760	73	61	47
10765	180	168	154
10766	147	135	121
10768	73	61	47
10776	70	58	44
10819	94	82	68
10843	255	243	229
10851	141	129	115
10871	228	216	202
10873	90	78	64
10874	90	78	64
10900	165	153	139
10901	169	157	143
10906	200	188	174
10958	128	116	102
11027	258	246	232
11034	162	150	136
