MMM
ABT
ABBV
ACN
ACE
ADBE
AET
AFL
APD
ALXN
AGN
ALL
MO
AMZN
AAL
AEP
AXP
AIG
AMT
AMGN
APC
ANTM
AON
AAPL
ADM
T
ADP
AZO
AVGO
AVB
BHI
BAC
BK
BBT
BDX
BRKB
BIIB
BLK
BKCC
BA
BSX
BMY
BRCM
COF
CAH
CCL
CAT
CBS
CELG
SCHW
CVX
CMG
CB
CI
CSCO
C
CME
KO
CTSH
CL
CMCSA
COP
GLW
COST
CCI
CSX
CVS
DHR
DE
DAL
DVN
DFS
DG
D
DOW
DUK
ETN
EBAY
ECL
DD
EA
LLY
EMC
EMR
EOG
EQR
EXC
ESRX
XOM
FB
FDX
F
GD
GE
GIS
GM
GILD
GS
GOOGL
GOOG
HAL
HCA
HCN
HPQ
HD
HON
HUM
ITW
INTC
ICE
IBM
INTU
JNJ
JCI
JPM
KMB
KMI
KHC
KR
LMT
LOW
LYB
MPC
MMC
MA
MCD
MHFI
MCK
MDT
MRK
MET
MSFT
MDLZ
MON
MS
MYL
NFLX
NEE
NKE
NSC
NOC
OXY
ORCL
ORLY
PYPL
PEP
PRGO
PFE
PCG
PM
PSX
PNC
PPG
PX
PCP
PCLN
PG
PRU
PSA
QCOM
RTN
REGN
RAI
CRM
SLB
SRE
SPG
SO
LUV
SBUX
STT
SYK
STI
SYY
TGT
TEL
TXN
TMO
TWC
TWX
TJX
TRV
FOXA
UNP
UNH
UPS
UTX
USB
VLO
VTR
VZ
VRTX
VFC
V
WBA
WMT
DIS
WFC
WMB
YHOO
YUM
ZTS
SPY
GLD
