price_date,close_price,high_price_14,low_price_14, stc_osci_14, ema_3_stc_osci_14
2012-04-20,570.53,633.51,570.53,0,,
2012-04-19,584.93,633.51,577.65,13.0325,,
2012-04-18,605.74,633.51,577.65,50.2864,,
2012-04-17,607.09,633.51,577.65,52.7032,,
2012-04-16,577.65,633.51,577.65,1.01761e-12,,
2012-04-13,602.64,633.51,596.99,15.471,,
2012-04-12,620.11,633.51,593.5,66.5083,,
2012-04-11,623.52,633.51,593.5,75.0313,,
2012-04-10,625.75,633.51,593.5,80.6048,,
2012-04-09,633.51,633.51,593.5,100,,
2012-04-05,630.97,630.97,593.5,100,,
2012-04-04,621.64,626.63,583.07,88.5446,,
2012-04-03,626.63,626.63,583.06,100,,
2012-04-02,615.99,615.99,583.06,100,,
2012-03-30,596.99,614.98,565.67,63.5165,,
2012-03-29,607.25,614.98,549.64,88.1696,,
2012-03-28,614.98,614.98,542.84,100,,
2012-03-27,611.85,611.85,539.67,100,,
2012-03-26,604.39,604.39,528.42,100,,
2012-03-23,593.5,603.37,527.99,86.9063,,
2012-03-22,596.78,603.37,527.99,91.2577,,
2012-03-21,599.92,603.37,527.99,95.4232,,
2012-03-20,603.37,603.37,527.99,100,,
2012-03-19,598.53,598.53,527.99,100,,
2012-03-16,583.07,587.06,527.99,93.2453,,
2012-03-15,583.06,587.06,523.51,93.7057,,
2012-03-14,587.06,587.06,520.18,100,,
2012-03-13,565.67,565.67,514.18,100,,
2012-03-12,549.64,549.64,510.85,100,,
2012-03-09,542.84,542.85,510.85,99.9689,,
2012-03-08,539.67,542.85,499.97,92.584,,
2012-03-07,528.42,542.85,499.97,66.3479,,
2012-03-06,527.99,542.85,495.54,68.5902,,
2012-03-05,530.88,542.85,495.54,74.6988,,
2012-03-02,542.85,542.85,495.54,100,,
2012-03-01,542.14,542.14,491.31,100,,
2012-02-29,540.12,540.12,491.06,100,,
2012-02-28,533.12,533.12,474.64,100,,
2012-02-27,523.51,523.51,466.83,100,,
2012-02-24,520.18,520.18,461.99,100,,
2012-02-23,514.18,514.18,457.71,100,,
2012-02-22,510.85,512.65,453.17,96.9737,,
2012-02-21,512.65,512.65,453.17,100,,
2012-02-17,499.97,507.28,453.17,86.4905,,
2012-02-16,500.06,507.28,451.07,87.1553,,
2012-02-15,495.54,507.28,445.37,81.037,,
2012-02-14,507.28,507.28,442.73,100,,
2012-02-13,500.45,500.45,442.73,100,,
2012-02-10,491.31,491.31,418.61,100,,
2012-02-09,491.06,491.06,418.61,100,,
2012-02-08,474.64,474.64,418.5,100,,
2012-02-07,466.83,466.83,418.5,100,,
2012-02-06,461.99,461.99,418.5,100,,
2012-02-03,457.71,457.71,418.5,100,,
2012-02-02,453.17,454.53,418.02,96.275,,
2012-02-01,454.24,454.53,418.02,99.2057,,
2012-01-31,454.53,454.53,418.02,100,,
2012-01-30,451.07,451.07,418.02,100,,
2012-01-27,445.37,445.37,418.02,100,,
2012-01-26,442.73,444.75,418.02,92.443,,
2012-01-25,444.75,444.75,416.24,100,,
2012-01-24,418.61,427.28,411.67,44.4585,,
2012-01-23,425.58,427.28,409.47,90.4547,,
2012-01-20,418.5,427.28,403.27,63.4319,,
2012-01-19,425.92,427.28,403.27,94.3358,,
2012-01-18,427.28,427.28,400.92,100,,
2012-01-17,422.88,422.88,400.92,100,,
2012-01-13,418.02,421.43,400.92,83.3739,,
2012-01-12,419.59,421.43,396.85,92.5143,,
2012-01-11,420.74,421.43,394.76,97.4128,,
2012-01-10,421.43,421.43,394.26,100,,
2012-01-09,419.93,420.59,380.58,98.3504,,
2012-01-06,420.59,420.59,379.39,100,,
2012-01-05,416.24,416.24,377.32,100,,
2012-01-04,411.67,411.67,377.32,100,,
2012-01-03,409.47,409.47,377.32,100,,
2011-12-30,403.27,404.79,377.32,94.4666,,
2011-12-29,403.39,404.79,377.32,94.9036,,
2011-12-28,400.92,404.79,377.32,85.9119,,
2011-12-27,404.79,404.79,377.32,100,,
2011-12-23,401.61,401.61,377.32,100,,
2011-12-22,396.85,396.85,377.32,100,,
2011-12-21,394.76,394.76,377.32,100,,
2011-12-20,394.26,394.26,377.32,100,,
2011-12-19,380.58,391.94,377.32,22.2981,,
2011-12-16,379.39,391.94,371.6,38.299,,
2011-12-15,377.32,391.94,371.6,28.1219,,
2011-12-14,378.56,391.94,362.02,55.2808,,
2011-12-13,387.15,391.94,362.02,83.9906,,
2011-12-12,390.16,391.94,362.02,94.0508,,
2011-12-09,391.94,391.94,362.02,100,,
2011-12-08,388.99,391.33,362.02,92.0164,,
2011-12-07,387.43,391.33,362.02,86.694,,
2011-12-06,389.28,391.33,362.02,93.0058,,
2011-12-05,391.33,391.33,362.02,100,,
2011-12-02,388.03,388.03,362.02,100,,
2011-12-01,386.27,387.17,362.02,96.4214,,
2011-11-30,380.57,387.17,362.02,73.7575,,
2011-11-29,371.6,393.59,362.02,30.3453,,
2011-11-28,374.51,404.49,362.02,29.409,,
2011-11-25,362.02,404.49,362.02,-4.01531e-13,,
2011-11-23,365.42,404.49,365.42,8.72948e-13,,
2011-11-22,374.9,404.49,367.43,20.1565,,
2011-11-21,367.43,404.49,367.43,7.66911e-13,,
2011-11-18,373.34,404.49,373.34,-1.27738e-12,,
2011-11-17,375.8,404.49,375.8,-9.90649e-13,,
2011-11-16,383.13,404.49,377.64,20.4469,,
2011-11-15,387.17,404.49,377.64,35.4935,,
2011-11-14,377.64,404.49,377.64,-1.69366e-12,,
2011-11-11,382.98,404.49,382.98,5.28531e-13,,
2011-11-10,383.57,404.49,383.57,-1.35859e-12,,
2011-11-09,393.59,404.49,391.19,18.0451,,
2011-11-08,404.49,404.49,391.19,100,,
2011-11-07,398.02,404.04,391.19,53.1516,,
2011-11-04,398.53,420.43,391.19,25.1026,,
2011-11-03,401.35,,,,,
2011-11-02,395.71,,,,,
2011-11-01,394.81,,,,,
2011-10-31,403.05,,,,,
2011-10-28,403.22,,,,,
2011-10-27,402.96,,,,,
2011-10-26,398.89,,,,,
2011-10-25,396.07,,,,,
2011-10-24,404.04,,,,,
2011-10-21,391.19,,,,,
2011-10-20,393.62,,,,,
2011-10-19,396.92,,,,,
2011-10-18,420.43,,,,,
2012-10-16,649.79,681.32,628.1,40.7553,,
2012-10-17,644.61,671.45,628.1,38.0853,,
2012-10-18,632.64,671.45,628.1,10.473,,
2012-10-19,609.84,671.45,609.84,-3.69053e-13,,
2012-10-22,634.03,671.45,609.84,39.2631,,
2012-10-23,613.36,666.8,609.84,6.17971,,
2012-10-25,609.54,649.79,609.54,-8.47355e-13,,
2012-10-24,616.83,652.59,609.84,16.3509,,
2012-10-26,604,649.79,604,0,,
2012-10-31,595.32,649.79,595.32,-6.26144e-13,,
2012-11-01,596.549,649.79,595.32,2.2563,,
2012-11-02,576.809,649.79,576.809,-3.11552e-13,,
2012-11-05,584.629,649.79,576.809,10.7151,,
2012-11-06,582.859,649.79,576.809,8.28982,,
2012-11-07,558.009,644.61,558.009,-3.9383e-13,,
2012-11-08,537.759,634.03,537.759,-3.54271e-13,,
2012-11-09,547.069,634.03,537.759,9.67061,,
2012-11-12,542.839,634.03,537.759,5.27679,,
2012-11-13,542.909,616.83,537.759,6.51316,,
2012-11-14,536.889,616.83,536.889,2.84427e-13,,
2012-11-15,525.629,609.54,525.629,5.4194e-13,,
2012-11-16,527.689,604,525.629,2.62852,,
2012-11-19,565.739,596.549,525.629,56.5567,,
2012-11-20,560.919,596.549,525.629,49.7603,,
2012-11-21,561.709,584.629,525.629,61.1525,,
2012-11-23,571.509,584.629,525.629,77.7626,,
2012-11-26,589.53,589.53,525.629,100,,
2012-11-27,584.789,589.53,525.629,92.5807,,
2012-11-28,582.949,,,,,
2012-11-29,589.369,,,,,
2012-11-30,585.289,,,,,
2012-12-03,586.19,,,,,
2012-12-04,573.26,,,,,
