10790,MZZ,ProShares UltraShort MidCap400 ETF,Commodity Based ETF,
5386,NIM, Nuveen Select Maturities Munici ,Financial,Closed-End Fund - Debt
5389,NKG, Nuveen Georgia Dividend Advanta ,Financial,Closed-End Fund - Debt
5420,NPT, Nuveen Premium Income Municipal ,Financial,Closed-End Fund - Debt
2556,OB,OneBeacon Insurance Group Ltd. ,Financial,Surety & Title Insurance
2587,OLBK,Old Line Bancshares Inc. ,Financial,Regional - Mid-Atlantic Banks
5499,OSM, SLM Corporation ,N/A,N/A
2639,OSN,Ossen Innovation Co. Ltd. ,Basic Materials,Steel & Iron
2661,PAC,Grupo Aeroportuario Del Pacific ,Services,Air Services Other
5518,PCK, Pimco California Municipal Inco ,N/A,N/A
2757,PKD,Parker Drilling Company Common  ,Basic Materials,Oil & Gas Drilling & Exploration
10775,PST,ProShares UltraShort 7-10 Year Treasury ETF,Commodity Based ETF,
10631,PSTL,PowerShares Global Steel Portfolio ETF,Global Equity ETF,
2875,PTP,Platinum Underwriters Holdings ,Financial,Property & Casualty Insurance
5605,PYT, PPlus Tr GSC-2 Tr Ctf Fltg Rate ,N/A,N/A
2908,PZZA,Papa John'S International Inc. ,Services,Restaurants
2968,RE,Everest Re Group Ltd. Common S ,Financial,Property & Casualty Insurance
2994,RGR,Sturm Ruger & Company Inc. Co ,Industrial Goods,Aerospace/Defense Products & Services
10684,RINF,ProShares 30 Year TIPS/TSY Spread ETF,Commodity Based ETF,
5633,RJA, AB Svensk Ekportkredit (Swedish ,N/A,N/A
3019,RMTI,Rockwell Medical Inc. ,Healthcare,Medical Appliances & Equipment
5653,RPAI, Retail Properties of America  I ,Financial,REIT - Diversified
3048,RPT,Ramco-Gershenson Properties Tru ,Financial,REIT - Retail
3076,RVR,White River Capital Inc ,Financial,Credit Services
3110,SBGI,Sinclair Broadcast Group Inc. ,Services,Broadcasting - TV
3117,SBSA,Spanish Broadcasting System In ,Services,Broadcasting - Radio
3179,SGU,Star Gas Partners L.P. Common  ,Basic Materials,Oil & Gas Pipelines
