2731,PFX,-0.0151120312511921,Phoenix Companies Inc. Phoenix ,NULL,NULL
2800,PNRG,-0.00937911868095398,PrimeEnergy Corporation ,Basic Materials,Independent Oil & Gas
5575,PNTR,-0.0259590893983841, Pointer Telocation Ltd. ,Services,Security & Protection Services
2820,PPL,-0.00478833913803101,PP&L Corporation Common ,Utilities,Electric Utilities
10521,PRB,-0.00919400900602341,Market Vectors Pre-Refunded Municipal Index ETF,Fixed Income ETF,
2869,PTEK,-0.00166452303528786,PokerTek Inc. ,Services,Gaming Activities
5593,PTGI,-0.296492099761963, Primus Telecommunications Group ,Technology,Long Distance Carriers
2878,PTSI,-0.0438334792852402,P.A.M. Transportation Services ,Services,Trucking
2881,PUDA,-0.000554503407329321,PUDA COAL NEW ,Basic Materials,Industrial Metals & Minerals
5598,PWX,-0.000250071287155151, Providence and Worcester Railro ,Services,Railroads
10637,PWZ,-0.000422969460487366,PowerShares Insured CA Municipal Bond Portfolio ETF,Fixed Income ETF,
2905,PZE,-0.0167446136474609,Petrobras Argentina S.A. ADS ,Basic Materials,Major Integrated Oil & Gas
2961,RDCM,-0.0225801952183247,Radcom Ltd. ,Technology,Computer Peripherals
5690,SENEB,-0.00240185856819153, Seneca Foods Corp. ,Consumer Goods,Processed & Packaged Goods
5698,SGOC,-0.019929975271225, SGOCO Group  Ltd ,Consumer Goods,Electronic Equipment
3205,SIGA,-0.000712275505065918,SIGA Technologies Inc. ,Healthcare,Biotechnology
5711,SKBI,-0.00605247914791107, Skystar Bio-Pharmaceutical Comp ,Healthcare,Drug Manufacturers - Major
5714,SLCA,-0.0655429363250732, U.S. Silica Holdings  Inc. Comm ,Basic Materials,Industrial Metals & Minerals
3254,SMMF,-0.00380917266011238,Summit Financial Group Inc. ,Financial,Regional - Mid-Atlantic Banks
3290,SOMH,-0.00670669972896576,Somerset Hills Bancorp ,Financial,Regional - Northeast Banks
5729,SPAN,-0.0230957269668579, Span-America Medical Systems  I ,Healthcare,Medical Appliances & Equipment
3326,SQM,-0.269527554512024,Sociedad Quimica y Minera S.A.  ,Basic Materials,Chemicals - Major Diversified
10811,SSG,-0.199725866317749,ProShares UltraShort Semiconductors ETF,Commodity Based ETF,
10027,TDD,-0.00315856374800205,DBX TDX Independence 2010 ETF,Fixed Income ETF,
10124,TDTT,-0.000576947117224336,FlexShares iBoxx 3-Year Target Duration TIPS Index Fund ETF,Fixed Income ETF,
3605,TSH,-0.0202037692070007,Teche Holding Company Common St ,Financial,Savings & Loans
5919,VIPS,-0.00924241542816162, Vipshop Holdings Limited Americ ,Technology,Internet Service Providers
5932,VRTA,-0.0180782023817301, Vestin Realty Mortgage I  Inc. ,Financial,REIT - Diversified
3949,WVVI,-0.00956807658076286,Willamette Valley Vineyards In ,Consumer Goods,Beverages - Wineries & Distillers
3952,WWIN,-0.000580316409468651,Winner Medical Group Inc. ,Healthcare,Medical Instruments & Supplies
5987,YANG,-0.153951108455658, Direxion Daily China Bear 3x Sh ,N/A,N/A
