Calculating EMA10
14	97	t83
291	159	t145
305	190	t176
446	163	t149
598	159	t145
662	244	t230
755	232	t218
1232	145	t131
1271	246	t232
1465	161	t147
1719	234	t220
1738	181	t167
1952	206	t192
2117	241	t227
2474	71	t57
2493	150	t136
3248	-1	t-15
missing:em12	3248	-1
missing:ema26	3248	-15
3794	62	t48
4036	115	t101
4039	105	t91
4040	6	t-8
missing:ema26	4040	-8
4045	171	t157
4046	30	t16
4049	-4	t-18
missing:em12	4049	-4
missing:ema26	4049	-18
4050	9	t-5
missing:ema26	4050	-5
4052	74	t60
4057	11	t-3
missing:ema26	4057	-3
4059	133	t119
4063	181	t167
4067	92	t78
4068	145	t131
4070	0	t-14
missing:ema26	4070	-14
4076	52	t38
4080	-1	t-15
missing:em12	4080	-1
missing:ema26	4080	-15
4081	225	t211
4091	115	t101
4096	155	t141
4098	161	t147
4100	2	t-12
missing:ema26	4100	-12
4103	93	t79
4114	173	t159
4117	220	t206
4127	93	t79
4133	37	t23
4135	206	t192
4148	4	t-10
missing:ema26	4148	-10
4154	10	t-4
missing:ema26	4154	-4
4155	69	t55
4171	153	t139
4177	78	t64
4181	44	t30
4183	116	t102
4184	120	t106
4190	136	t122
4214	10	t-4
missing:ema26	4214	-4
4216	106	t92
4220	28	t14
4222	221	t207
4226	136	t122
4236	64	t50
4240	-1	t-15
missing:em12	4240	-1
missing:ema26	4240	-15
4247	170	t156
4251	93	t79
4254	172	t158
4255	161	t147
4262	111	t97
4268	229	t215
4272	55	t41
4282	117	t103
4286	226	t212
4291	76	t62
4292	225	t211
4294	-10	t-24
missing:em12	4294	-10
missing:ema26	4294	-24
4299	161	t147
4307	93	t79
4318	140	t126
4320	47	t33
4322	47	t33
4323	106	t92
4324	132	t118
4334	51	t37
4340	93	t79
4341	170	t156
4351	177	t163
4358	122	t108
4365	52	t38
4366	170	t156
4383	225	t211
4402	58	t44
4412	5	t-9
missing:ema26	4412	-9
4417	211	t197
4422	158	t144
4423	82	t68
4424	58	t44
4425	170	t156
4427	5	t-9
missing:ema26	4427	-9
4433	127	t113
4441	114	t100
4450	59	t45
4461	67	t53
4463	48	t34
4465	-4	t-18
missing:em12	4465	-4
missing:ema26	4465	-18
4470	73	t59
4475	134	t120
4476	117	t103
4480	53	t39
4484	170	t156
4486	73	t59
4495	140	t126
4503	177	t163
4508	104	t90
4509	111	t97
4520	72	t58
4528	-2	t-16
missing:em12	4528	-2
missing:ema26	4528	-16
4534	85	t71
4549	126	t112
4560	58	t44
4565	216	t202
4566	1	t-13
missing:ema26	4566	-13
4580	116	t102
4605	152	t138
4629	-2	t-16
missing:em12	4629	-2
missing:ema26	4629	-16
4636	240	t226
4657	181	t167
4661	134	t120
4672	241	t227
4677	165	t151
4690	167	t153
4694	106	t92
4697	74	t60
4715	89	t75
4720	174	t160
4723	17	t3
4730	108	t94
4732	207	t193
4755	0	t-14
missing:ema26	4755	-14
4766	199	t185
4767	93	t79
4769	38	t24
4797	117	t103
4834	156	t142
4844	166	t152
4872	48	t34
4882	53	t39
4909	88	t74
4910	64	t50
4915	137	t123
4917	10	t-4
missing:ema26	4917	-4
4918	47	t33
4947	6	t-8
missing:ema26	4947	-8
4986	-1	t-15
missing:em12	4986	-1
missing:ema26	4986	-15
5008	106	t92
5047	224	t210
5051	231	t217
5057	116	t102
5060	210	t196
5061	226	t212
5066	225	t211
5069	93	t79
5072	105	t91
5076	115	t101
5081	129	t115
5095	231	t217
5096	231	t217
5103	209	t195
5116	5	t-9
missing:ema26	5116	-9
5124	52	t38
5128	115	t101
5143	-5	t-19
missing:em12	5143	-5
missing:ema26	5143	-19
5148	224	t210
5149	138	t124
5152	209	t195
5159	211	t197
5162	17	t3
5171	57	t43
5174	-4	t-18
missing:em12	5174	-4
missing:ema26	5174	-18
5182	170	t156
5186	51	t37
5193	238	t224
5194	-2	t-16
missing:em12	5194	-2
missing:ema26	5194	-16
5195	5	t-9
missing:ema26	5195	-9
5198	206	t192
5199	245	t231
5202	229	t215
5205	42	t28
5206	5	t-9
missing:ema26	5206	-9
5208	135	t121
5209	42	t28
5213	82	t68
5215	93	t79
5217	1	t-13
missing:ema26	5217	-13
5219	206	t192
5223	139	t125
5227	40	t26
5231	210	t196
5236	123	t109
5237	224	t210
5241	42	t28
5243	106	t92
5251	135	t121
5261	106	t92
5263	82	t68
5276	135	t121
5277	47	t33
5281	224	t210
5288	106	t92
5290	181	t167
5293	120	t106
5297	126	t112
5299	106	t92
5308	173	t159
5314	145	t131
5342	106	t92
5365	117	t103
5369	51	t37
5370	235	t221
5378	54	t40
5393	229	t215
5435	205	t191
5443	53	t39
5444	227	t213
5458	149	t135
5480	126	t112
5483	217	t203
5491	217	t203
5494	93	t79
5498	195	t181
5503	229	t215
5504	105	t91
5505	93	t79
5509	58	t44
5514	121	t107
5525	110	t96
5526	94	t80
5532	170	t156
5540	42	t28
5543	120	t106
5576	178	t164
5581	159	t145
5583	135	t121
5584	93	t79
5589	44	t30
5591	126	t112
5609	39	t25
5611	8	t-6
missing:ema26	5611	-6
5612	141	t127
5618	-1	t-15
missing:em12	5618	-1
missing:ema26	5618	-15
5622	184	t170
5628	1	t-13
missing:ema26	5628	-13
5634	148	t134
5639	-1	t-15
missing:em12	5639	-1
missing:ema26	5639	-15
5642	116	t102
5643	136	t122
5645	170	t156
5647	234	t220
5650	93	t79
5652	111	t97
5653	129	t115
5658	210	t196
5659	198	t184
5668	141	t127
5669	135	t121
5670	32	t18
5672	93	t79
5683	170	t156
5686	122	t108
5688	82	t68
5692	170	t156
5703	-2	t-16
missing:em12	5703	-2
missing:ema26	5703	-16
5708	151	t137
5714	175	t161
5721	8	t-6
missing:ema26	5721	-6
5722	94	t80
5723	206	t192
5724	56	t42
5732	121	t107
5733	128	t114
5742	158	t144
5745	188	t174
5747	164	t150
5748	-1	t-15
missing:em12	5748	-1
missing:ema26	5748	-15
5757	113	t99
5760	186	t172
5763	53	t39
5770	167	t153
5772	10	t-4
missing:ema26	5772	-4
5780	215	t201
5782	70	t56
5787	8	t-6
missing:ema26	5787	-6
5788	153	t139
5789	106	t92
5791	131	t117
5793	40	t26
5802	242	t228
5813	110	t96
5818	208	t194
5822	212	t198
5828	93	t79
5830	86	t72
5835	72	t58
5839	240	t226
5840	34	t20
5842	121	t107
5879	170	t156
5887	170	t156
5890	93	t79
5895	23	t9
5902	170	t156
5904	232	t218
5908	136	t122
5912	157	t143
5919	139	t125
5928	140	t126
5934	178	t164
5936	-4	t-18
missing:em12	5936	-4
missing:ema26	5936	-18
5944	105	t91
5947	-1	t-15
missing:em12	5947	-1
missing:ema26	5947	-15
5951	179	t165
5955	139	t125
5961	105	t91
5964	209	t195
5966	38	t24
5967	8	t-6
missing:ema26	5967	-6
5988	154	t140
5990	146	t132
5998	246	t232
5999	205	t191
6000	93	t79
10001	178	t164
10004	61	t47
10005	96	t82
10011	15	t1
10016	61	t47
10038	37	t23
10056	161	t147
10059	161	t147
10060	24	t10
10065	163	t149
10072	163	t149
10077	161	t147
10079	158	t144
10116	164	t150
10117	157	t143
10119	158	t144
10128	6	t-8
missing:ema26	10128	-8
10129	6	t-8
missing:ema26	10129	-8
10146	211	t197
10153	121	t107
10154	213	t199
10155	213	t199
10158	227	t213
10160	58	t44
10174	106	t92
10176	104	t90
10177	135	t121
10178	106	t92
10179	135	t121
10180	135	t121
10225	72	t58
10226	47	t33
10241	164	t150
10242	158	t144
10243	116	t102
10244	82	t68
10254	164	t150
10256	161	t147
10263	158	t144
10291	121	t107
10292	132	t118
10293	245	t231
10294	163	t149
10308	132	t118
10309	129	t115
10318	161	t147
10333	173	t159
10334	168	t154
10348	245	t231
10351	178	t164
10358	178	t164
10362	177	t163
10364	245	t231
