ticker_id,price_date,ema_macd_9
187,2011-12-05,-0.873113
188,2011-12-05,-0.419059
189,2011-12-05,0.0478253
190,2011-12-05,0.260377
191,2011-12-05,0.245049
192,2011-12-05,0.140824
193,2011-12-05,0.0461907
194,2011-12-05,0.215509
195,2011-12-05,-0.511891
196,2011-12-05,-0.913822
197,2011-12-05,-0.410384
198,2011-12-05,-0.0877686
199,2011-12-05,-0.154652
200,2011-12-05,-0.331852
202,2011-12-05,0.0100218
203,2011-12-05,0.226729
204,2011-12-05,-0.367417
205,2011-12-05,-0.370022
206,2011-12-05,-0.534993
207,2011-12-05,0.000861486
208,2011-12-05,0.15234
209,2011-12-05,-0.378108
210,2011-12-05,-0.723772
211,2011-12-05,-2.50029
212,2011-12-05,-0.0249404
213,2011-12-05,-0.0283696
214,2011-12-05,0.354728
215,2011-12-05,-0.0565965
216,2011-12-05,0.0718702
217,2011-12-05,0.164516
218,2011-12-05,-0.21251
219,2011-12-05,-1.24112
220,2011-12-05,-0.42353
221,2011-12-05,-10.1635
222,2011-12-05,-1.35488
223,2011-12-05,-0.548307
224,2011-12-05,-0.145563
225,2011-12-05,-0.418054
226,2011-12-05,-0.131208
227,2011-12-05,0.157525
228,2011-12-05,1.86939
229,2011-12-05,-1.02081
230,2011-12-05,-8.16848
231,2011-12-05,-0.0373528
232,2011-12-05,-0.481528
233,2011-12-05,-0.0612542
234,2011-12-05,0.52309
235,2011-12-05,0.412708
236,2011-12-05,-1.13007
237,2011-12-05,0.0199117
238,2011-12-05,-0.832181
239,2011-12-05,1.84646
240,2011-12-05,-0.230361
241,2011-12-05,-0.026179
242,2011-12-05,-1.36301
243,2011-12-05,-0.162858
244,2011-12-05,-0.166555
245,2011-12-05,0.0621633
246,2011-12-05,-0.162633
247,2011-12-05,-1.02647
248,2011-12-05,-0.451978
249,2011-12-05,-0.00258213
250,2011-12-05,0.236597
251,2011-12-05,-1.11496
252,2011-12-05,-1.05097
253,2011-12-05,-1.12793
254,2011-12-05,-1.30851
255,2011-12-05,-1.77244
256,2011-12-05,1.02226
257,2011-12-05,-0.366274
258,2011-12-05,-0.951125
259,2011-12-05,-0.0911632
260,2011-12-05,-0.179189
261,2011-12-05,0.326064
262,2011-12-05,-0.168258
263,2011-12-05,-0.368181
264,2011-12-05,-0.0739887
265,2011-12-05,-0.526813
266,2011-12-05,0.0050896
267,2011-12-05,-0.414216
268,2011-12-05,0.0209146
269,2011-12-05,-0.105567
270,2011-12-05,-0.549635
271,2011-12-05,-0.00710495
272,2011-12-05,-0.572246
