3871,WFC
3881,WHR
3897,WM
3899,WMB
3904,WMT
3948,WU
3958,WY
3959,WYN
3960,WYNN
3966,XEC
3967,XEL
3970,XL
3971,XLNX
3974,XOM
3979,XRAY
3983,XRX
3993,YHOO
4003,YUM
4014,ZION
4028,BLK
4040,ADT
4383,DLPH
4431,EA
4501,ETN
4533,FB
4558,FITB
4658,GLD
4724,GWW
4738,HAL
4741,HAR
4742,HAS
4748,HBAN
4753,HBI
4761,HCA
4762,HCBK
4770,HCN
4772,HCP
4775,HD
4790,HES
4808,HIG
4857,HOG
4864,HON
4866,HOT
4871,HP
4879,HPQ
4887,HRB
4890,HRL
4891,HRS
4898,HSIC
4904,HSP
4905,HST
4907,HSY
4931,HUM
4971,IBM
4978,ICE
5005,IFF
5121,JOY
5156,KMI
5162,KRFT
5191,LLY
5228,MDLZ
5287,MNST
5292,MPC
5302,MSI
5394,NLSN
5591,PSX
5755,STT
5822,TRIP
5915,VIAB
5940,VXX
5954,WFM
5986,XYL
10307,FXI
10367,EEM
10656,QQQ
10889,XLF
10909,SPY
11380,MNK
11373,MHFI
11260,FOXA
11071,ACT
11067,ABBV
11063,AAL
11607,ZTS
11620,ALLE
11832,GOOGL
11962,NAVI
12183,ANTM
12871,WBA
